"","DBA","BUILDING","STREET","ZIPCODE","PHONE","CUISINE.DESCRIPTION","GRADE","ADDRESS","lon","lat"
"25","YIP'S RESTAURANT/JUICE VITALITY","18","BEAVER STREET",10004,"2124809010","Asian","B","18, BEAVER STREET, New York, NY",NA,NA
"26","RESERVE CUT","40","BROAD ST",10004,"2127470300","Jewish/Kosher",NA,"40, BROAD ST, New York, NY",-74.0117654,40.7060275
"27","SANTINA","820","WASHINGTON ST",10014,"2122543000","Armenian",NA,"820, WASHINGTON ST, New York, NY",-74.008443,40.7396079
"28","UMAMI BURGER","432","AVENUE OF THE AMERICAS",10011,"2126778626","Hamburgers",NA,"432, AVENUE OF THE AMERICAS, New York, NY",-73.9985898,40.7343992
"29","MIDO","612","AMSTERDAM AVE",10024,"2127210566","Asian",NA,"612, AMSTERDAM AVE, New York, NY",-73.9735756,40.7901213
"30","CHICK'NCONE","1000 S","8TH AVE",10019,"7202788672","Other",NA,"1000 S, 8TH AVE, New York, NY",-73.9833642,40.7686743
"31","LE PAIN QUOTIDIEN","550","HUDSON STREET",10014,"2122552275","Sandwiches",NA,"550, HUDSON STREET, New York, NY",NA,NA
"32","CARBONE","331","W 38TH ST",10018,"2122902625","Italian",NA,"331, W 38TH ST, New York, NY",-73.9930347,40.7554213
"33","RED STAR","2060","ACP JR BLVD",10027,"2128063988","Chinese",NA,"2060, ACP JR BLVD, New York, NY",NA,NA
"34","PARMA RESTAURANT","1404","3 AVENUE",10075,"2125353520","Italian",NA,"1404, 3 AVENUE, New York, NY",-73.9571291,40.7749003
"35","LUCKY DELI","12","EAST   37 STREET",10016,"2122131370","Delicatessen",NA,"12, EAST   37 STREET, New York, NY",-73.9823124,40.7497951
"36","BOWERY ELECTRIC","327","BOWERY",10003,"2122280228","American","Z","327, BOWERY, New York, NY",-73.9916803,40.7257162
"37","JADE GARDEN","4028","BROADWAY",10032,"2127950556","Chinese","A","4028, BROADWAY, New York, NY",-73.9389251,40.8418106
"38","TWO DOORS TAVERN","1576","3 AVENUE",10128,"2128281388","American",NA,"1576, 3 AVENUE, New York, NY",-73.9529963,40.7805616
"39","2 BROS PIZZA/JUICE SHOP","113","E 125TH ST",10035,"9175878888","Pizza","C","113, E 125TH ST, New York, NY",NA,NA
"40","ROTH BAR","548","W 22ND ST",10011,"2127903900","American","A","548, W 22ND ST, New York, NY",-74.007014,40.747812
"41","ZINC","82","WEST    3 STREET",10012,"2124779462","American","A","82, WEST    3 STREET, New York, NY",-73.9989571,40.7297021
"42","THE CONFESSION BOX","304","EAST   78 STREET",10075,"2127379520","American","B","304, EAST   78 STREET, New York, NY",-73.9552349,40.7723066
"43","PANCA","92","7 AVENUE SOUTH",10014,"2124883900","Peruvian","A","92, 7 AVENUE SOUTH, New York, NY",-74.0035291,40.7328667
"44","WU LIANG YE RESTAURANT","36","WEST   48 STREET",10036,"2123982308","Chinese","A","36, WEST   48 STREET, New York, NY",NA,NA
"45","169 BAR","169","EAST BROADWAY",10002,"9175772077","American","B","169, EAST BROADWAY, New York, NY",NA,NA
"46","BURGER HEAVEN","9","E 53RD ST",10022,"2127520340","American","B","9, E 53RD ST, New York, NY",-73.9749106,40.7602871
"47","PINOCCHIO RISTORANTE","1748","1 AVENUE",10128,"2128285810","Italian",NA,"1748, 1 AVENUE, New York, NY",-73.9469807,40.7796671
"48","BENGAL TIGER INDIAN FOOD","58","WEST 56TH STREET",10019,"2122652703","Indian","A","58, WEST 56TH STREET, New York, NY",NA,NA
"49","HEARTLAND BREWERY","127","WEST   43 STREET",10036,"6463660235","American","A","127, WEST   43 STREET, New York, NY",-73.984564,40.7561682
"50","TARTINE","253","WEST   11 STREET",10014,"2122292611","English","A","253, WEST   11 STREET, New York, NY",-74.0034562,40.7363632
"51","ROCKWOOD MUSIC HALL (STAGE ZERO)","196","ALLEN STREET",10002,"2124774155","American","A","196, ALLEN STREET, New York, NY",-73.9885967,40.7223016
"52","LITTLE ITALY PIZZA III","122","UNIVERSITY PLACE",10003,"2129894225","Pizza/Italian","A","122, UNIVERSITY PLACE, New York, NY",-73.9924003,40.7347673
"53","ROUGE TOMATE","126","W 18TH ST",10011,"6463953978","French",NA,"126, W 18TH ST, New York, NY",-73.9962661,40.7402203
"54","FORTY CARROTS","1000","3 AVENUE",10022,"2127053085","American","A","1000, 3 AVENUE, New York, NY",NA,NA
"55","IL SALUMAIO","1731","2ND AVE",10128,"6468526876","Italian",NA,"1731, 2ND AVE, New York, NY",NA,NA
"56","PERK KAFE","1867","2ND AVE",10029,"6466784272","Caf̩/Coffee/Tea",NA,"1867, 2ND AVE, New York, NY",-73.9472343,40.7845962
"57","WO HOP 17","17","MOTT STREET",10013,"2122672536","Chinese",NA,"17, MOTT STREET, New York, NY",-73.9989227,40.7142792
"58","KFC","2755","BROADWAY",10025,"2126659430","American","A","2755, BROADWAY, New York, NY",-73.9682766,40.8013318
"59","ROSEMARY'S","1820","GREENWICH AVENUE",10011,"2126471818","Italian","A","1820, GREENWICH AVENUE, New York, NY",NA,NA
"60","PAKU PAKUS","1393B","2ND AVE",10021,"7186856504","Japanese",NA,"1393B, 2ND AVE, New York, NY",NA,NA
"61","CHERRY TAVERN","441","EAST    6 STREET",10009,"2127771448","American","B","441, EAST    6 STREET, New York, NY",NA,NA
"62","HOTEL PIERRE-MAIN KITCHEN","2","EAST   61 STREET",10065,"2128388000","American","A","2, EAST   61 STREET, New York, NY",-73.9720398,40.7651281
"63","GILA'S NOSH","221","EAST   23 STREET",10010,"2122133334","Mediterranean","A","221, EAST   23 STREET, New York, NY",-73.9818912,40.7386754
"64","CAFE KATJA","79","ORCHARD STREET",10002,"2122199545","Eastern European","A","79, ORCHARD STREET, New York, NY",NA,NA
"65","MADE IN MEXICO","3950","10TH AVE",10034,"6467264849","Mexican",NA,"3950, 10TH AVE, New York, NY",NA,NA
"66","MULBERRY PROJECT","149","MULBERRY STREET",10013,"6464484536","American","A","149, MULBERRY STREET, New York, NY",-73.9977161,40.7190315
"67","CAFE B'WAY 46","146","W 46TH ST",10036,"2129381333","American","B","146, W 46TH ST, New York, NY",-73.9842082,40.7579798
"68","EUREST DINING SERVICE (American Express)","200","VESEY STREET",10285,"2126404416","American",NA,"200, VESEY STREET, New York, NY",NA,NA
"69","BABBO RISTORANTE E ENOTECA","110","WAVERLY PLACE",10011,"2127770303","Italian",NA,"110, WAVERLY PLACE, New York, NY",-73.9992785,40.732296
"70","BY CHLOE","185","BLEECKER ST",10012,"2122908000","Vegetarian",NA,"185, BLEECKER ST, New York, NY",-74.0009312,40.7292484
"71","MALA PROJECT","122","1ST AVE",10009,"2123538880","Chinese","A","122, 1ST AVE, New York, NY",-73.985356,40.7271067
"72","EL LINA RESTAURANT","500","WEST  207 STREET",10034,"2125675031","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",NA,"500, WEST  207 STREET, New York, NY",NA,NA
"73","MAD HATTER SALOON","360","3 AVENUE",10016,"2126962122","American",NA,"360, 3 AVENUE, New York, NY",-73.9818781,40.7409847
"74","WHISPERS BAR AND RESTAURANT","210","W 94TH ST",10025,"8453132814","American","A","210, W 94TH ST, New York, NY",NA,NA
"75","TERRA BLUES","149","BLEEKER STREET",10012,"2127777776","American",NA,"149, BLEEKER STREET, New York, NY",NA,NA
"76","DELIGHT 28 RESTAURANT","2830","PELL STREET",10013,"2122858686","Chinese","B","2830, PELL STREET, New York, NY",-73.998459,40.7150915
"77","WINDFALL","23","WEST   39 STREET",10018,"2128694606","American","A","23, WEST   39 STREET, New York, NY",-73.98384,40.7522407
"78","IPANEMA BAR","252","WEST   14 STREET",10011,"2128070150","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",NA,"252, WEST   14 STREET, New York, NY",NA,NA
"79","SAVOUR SICHUAN","108","W 39TH ST",10018,"2122217237","Chinese","C","108, W 39TH ST, New York, NY",NA,NA
"80","AU BON PAIN","1251","6 AVENUE",10020,"2129215908","American","A","1251, 6 AVENUE, New York, NY",-73.9818092,40.7600994
"81","UNO PIZZERIA AND GRILL","432","COLUMBUS AVENUE",10024,"2125954700","Pizza/Italian",NA,"432, COLUMBUS AVENUE, New York, NY",-73.9749567,40.7833
"82","SUBWAY","281","SAINT NICHOLAS AVE",10027,"9173785700","Sandwiches","A","281, SAINT NICHOLAS AVE, New York, NY",NA,NA
"83","BIRCH COFFEE","171","E 88TH ST",10128,"2126861444","Caf̩/Coffee/Tea",NA,"171, E 88TH ST, New York, NY",-73.953324,40.7803792
"84","SPEEDY'S DELI","1271","BROADWAY",10001,"2126838997","American",NA,"1271, BROADWAY, New York, NY",-73.9884413,40.7482511
"85","SNACKS-N-WHEELS/GREYHOUND FOOD SERVICE","625","8 AVENUE",10018,"2125642814","American",NA,"625, 8 AVENUE, New York, NY",-73.9917688,40.7569045
"86","O-MAI","158","9 AVENUE",10011,"2126330550","Vietnamese/Cambodian/Malaysia","A","158, 9 AVENUE, New York, NY",-74.0026298,40.7443146
"87","SUSHI NAKAZAWA","23","COMMERCE STREET",10014,"2129242212","Japanese","A","23, COMMERCE STREET, New York, NY",-74.0044661,40.7317959
"88","WHISKEY SOCIAL","35","WEST    8 STREET",10011,"6467264476","American",NA,"35, WEST    8 STREET, New York, NY",-73.9980436,40.7331294
"89","PRINT RESTAURANT/PRESS LOUNGE/BANQUET KITCHEN","653","11 AVENUE",10036,"2127572294","American",NA,"653, 11 AVENUE, New York, NY",-73.99595,40.7645758
"90","PIERRE LOTI CAFE WINE BAR","53","IRVING PLACE",10003,"2127775684","Tapas",NA,"53, IRVING PLACE, New York, NY",-73.9875483,40.7360953
"91","VILLAGE NATURAL","46","GREENWICH AVE",10011,"2127270968","Vegetarian","B","46, GREENWICH AVE, New York, NY",-74.000252,40.7356228
"92","GRAPE AND GRAIN","620","EAST    6 STREET",10009,"2124200002","Caf̩/Coffee/Tea",NA,"620, EAST    6 STREET, New York, NY",-73.980822,40.7239629
"93","EVELYN'S KITCHEN","2317","1 AVENUE",10035,"6464767906","American","A","2317, 1 AVENUE, New York, NY",-73.9344551,40.7977934
"94","BONSIGNOUR","35","JANE STREET",10014,"2122299700","American","A","35, JANE STREET, New York, NY",-74.0043284,40.73834
"95","AMC THEATRES","2309","FREDERICK DOUGLAS BOULEVARD",10027,"2126656923","American",NA,"2309, FREDERICK DOUGLAS BOULEVARD, New York, NY",-73.9517817,40.8096863
"96","MINAR INDIAN RESTAURANT","138","WEST   46 STREET",10036,"2123984600","Indian","B","138, WEST   46 STREET, New York, NY",-73.9840245,40.7578765
"97","THE CORNER CAFE","729","6TH AVE",10010,"2129893373","Sandwiches/Salads/Mixed Buffet",NA,"729, 6TH AVE, New York, NY",NA,NA
"98","MARTINIQUE CAFE","1260","BROADWAY",10001,"2122446523","American",NA,"1260, BROADWAY, New York, NY",NA,NA
"99","YUI GALLERY & TEA CAFFE","131","ELDRIDGE ST",10002,"3479332450","Caf̩/Coffee/Tea",NA,"131, ELDRIDGE ST, New York, NY",-73.9917492,40.7189102
"100","DROP OFF SERVICE","211","AVENUE A",10009,"2122602914","American",NA,"211, AVENUE A, New York, NY",NA,NA
"101","KLIMAT","77","EAST 7 STREET",10003,"9172140589","Polish",NA,"77, EAST 7 STREET, New York, NY",NA,NA
"102","THE BAILEY","52","WILLIAM STREET",10005,"2128592200","American","A","52, WILLIAM STREET, New York, NY",-74.0089713,40.7067843
"103","DON PEPIS DELICATESSEN","0","AMTRAK LEVEL",10001,"2127600802","Delicatessen","A","0, AMTRAK LEVEL, New York, NY",NA,NA
"104","JULES BISTRO","65","ST MARKS PLACE",10003,"2124775560","French","B","65, ST MARKS PLACE, New York, NY",-73.9860561,40.728181
"105","CROWN FRIED CHICKEN","117","AVENUE D",10009,"2129822850","Chicken","B","117, AVENUE D, New York, NY",-73.9761377,40.7238559
"106","LUIGIS GRILL PIZZA","936","8 AVENUE",10019,"2122458432","Pizza/Italian","B","936, 8 AVENUE, New York, NY",NA,NA
"107","HELL'S CHICKEN","641","10TH AVE",10036,"2127571120","Chicken","A","641, 10TH AVE, New York, NY",NA,NA
"108","JUMBO PIZZA","3594","BROADWAY",10031,"2122914991","Italian","B","3594, BROADWAY, New York, NY",-73.948912,40.8280219
"109","TARALLUCCI E VINO","15","EAST 18 STREET",10003,"2122285400","Italian",NA,"15, EAST 18 STREET, New York, NY",NA,NA
"110","KAJITSU","125","EAST   39 STREET",10016,"2122284873","Japanese","A","125, EAST   39 STREET, New York, NY",-73.9776999,40.7498869
"111","MOMOFUKU MILK BAR UWS","561","COLUMBUS AVENUE",10024,"2122560586","Caf̩/Coffee/Tea","A","561, COLUMBUS AVENUE, New York, NY",-73.9714006,40.7871769
"112","HOUSE OF LASAGNA/LA STANZA","334","LEXINGTON AVE",10016,"2128839555","Italian","A","334, LEXINGTON AVE, New York, NY",NA,NA
"113","SAKA GURA","211","EAST   43 STREET",10017,"2129537253","Japanese",NA,"211, EAST   43 STREET, New York, NY",NA,NA
"114","EASTEND BAR & GRILL","1664","1 AVENUE",10028,"2123483783","American","B","1664, 1 AVENUE, New York, NY",-73.9487508,40.7772838
"115","FORT WASHINGTON BAKERY AND DELI","808","WEST  181 STREET",10033,"2127951891","Delicatessen",NA,"808, WEST  181 STREET, New York, NY",-73.9387032,40.8508873
"116","STANTON SOCIAL","99","STANTON STREET",10002,"2129950099","American",NA,"99, STANTON STREET, New York, NY",NA,NA
"117","DAG'S THE PATIO","342","E 47TH ST",10017,"9174714822","Caf̩/Coffee/Tea",NA,"342, E 47TH ST, New York, NY",-73.9686555,40.7520017
"118","UPPER EAST CAFE","1048","3RD AVE",10065,"9174751721","Seafood","A","1048, 3RD AVE, New York, NY",NA,NA
"119","CHOP SHOP KITCHEN","41","W 24TH ST",10010,"9178859346","Asian",NA,"41, W 24TH ST, New York, NY",-73.9911983,40.7432724
"120","KOBEYAKI","293","7 AVENUE",10001,"2122425500","Japanese",NA,"293, 7 AVENUE, New York, NY",-73.9937535,40.7462574
"121","BLARNEY ROCK","137","WEST   33 STREET",10001,"2129470825","Irish","A","137, WEST   33 STREET, New York, NY",-73.9898968,40.7500761
"122","JUST SALAD","663","LEXINGTON AVE",10022,"2122441111","Salads",NA,"663, LEXINGTON AVE, New York, NY",NA,NA
"123","THE KATI ROLL COMPANY","229","EAST   53 STREET",10022,"2128881700","Indian","A","229, EAST   53 STREET, New York, NY",-73.9681035,40.7573616
"124","THE BITTER END","147","BLEECKER STREET",10012,"2126737030","American",NA,"147, BLEECKER STREET, New York, NY",-73.9991763,40.728369
"125","AMBER","381","3RD AVE",10016,"2126866388","Asian","A","381, 3RD AVE, New York, NY",-73.9809254,40.741496
"126","DALTON'S BAR & GRILL","611","9 AVENUE",10036,"2122455511","American","A","611, 9 AVENUE, New York, NY",-73.9922542,40.75944
"127","JOE'S SHANGHAI RESTAURANT","24","WEST   56 STREET",10019,"2123333868","Chinese","A","24, WEST   56 STREET, New York, NY",-73.9759092,40.7627538
"128","DEGREZIA","231","EAST   50 STREET",10022,"2127505353","Italian","A","231, EAST   50 STREET, New York, NY",-73.9694351,40.7555054
"129","VOGA LOUNGE & GRILL","300","AUDUBON AVE",10033,"2123908490","Spanish",NA,"300, AUDUBON AVE, New York, NY",-73.9328223,40.8482229
"130","FRANCISCO'S CENTRO VASCO","159","WEST   23 STREET",10011,"2126456224","Spanish","A","159, WEST   23 STREET, New York, NY",-73.9949259,40.7438001
"131","INDIKITCH","25","W 23RD ST",10010,"6465907152","Indian",NA,"25, W 23RD ST, New York, NY",-73.9904449,40.742221
"132","LUKE'S LOBSTER","426","AMSTERDAM AVENUE",10024,"2128778800","Seafood",NA,"426, AMSTERDAM AVENUE, New York, NY",-73.977874,40.784224
"133","FRESH SALT","146","BEEKMAN STREET",10038,"2129620053","American","A","146, BEEKMAN STREET, New York, NY",NA,NA
"134","DON PANCHITO RESTAURANT","2102","AMSTERDAM AVENUE",10032,"2127953290","Mexican",NA,"2102, AMSTERDAM AVENUE, New York, NY",-73.9390361,40.8375606
"135","MAMASUSHI","3569","BROADWAY",10031,"6466827879","Asian","A","3569, BROADWAY, New York, NY",NA,NA
"136","SAIGON VIETNAMESE SANDWICH","369","BROOME ST",10013,"2122198341","Vietnamese/Cambodian/Malaysia","Z","369, BROOME ST, New York, NY",-73.9958662,40.7199353
"137","AKI SUSHI AND GRILL","720","2ND AVE",10016,"2129221168","Chinese/Japanese",NA,"720, 2ND AVE, New York, NY",NA,NA
"138","LA BROCHETTE STEAKHOUSE.","340","LEXINGTON AVE",10016,"2129722200","Jewish/Kosher",NA,"340, LEXINGTON AVE, New York, NY",-73.9774244,40.7498478
"139","LA PANINERIA","1","W 8TH ST",10011,"9172830197","Italian","P","1, W 8TH ST, New York, NY",NA,NA
"140","MAY WAH PORK CHOP FAST FOOD","190","HESTER ST",10013,"2129256776","Chinese",NA,"190, HESTER ST, New York, NY",-73.9984521,40.7182002
"141","STK","28","LITTLE WEST   12 STREET",10014,"6466242444","American",NA,"28, LITTLE WEST   12 STREET, New York, NY",-74.0074731,40.7397702
"142","CARAVAN OF DREAMS","405","EAST    6 STREET",10009,"2122541613","Vegetarian","A","405, EAST    6 STREET, New York, NY",-73.9856544,40.7263961
"143","SHILLA KOREAN BARBECUE HOUSE","37","WEST   32 STREET",10001,"2129671880","Korean","A","37, WEST   32 STREET, New York, NY",NA,NA
"144","OYSTER BAR","0","GRAND CENTRAL TERMINAL",10017,"2124906650","Seafood",NA,"0, GRAND CENTRAL TERMINAL, New York, NY",-73.9772294,40.7527262
"145","CHI DUMPLINGS & NOODLES","1","W 58TH ST",10019,"6467553230","Chinese/Japanese",NA,"1, W 58TH ST, New York, NY",-73.9742747,40.7642202
"146","PARIS BAGUETTE","273","CANAL ST",10013,"9172612989","Bakery","Not Yet Graded","273, CANAL ST, New York, NY",-74.0011966,40.7191558
"147","SERGIMMO SALUMERIA","456","9 AVENUE",10018,"2129674212","Italian",NA,"456, 9 AVENUE, New York, NY",-73.995422,40.7542547
"148","TRUMP CAFE & GRILL","725","5 AVENUE",10022,"2127157290","American",NA,"725, 5 AVENUE, New York, NY",-73.9739119,40.7623737
"149","THE BREAD FACTORY","935","8 AVENUE",10019,"2125862221","American",NA,"935, 8 AVENUE, New York, NY",-73.9838982,40.7657404
"150","HOP WON EXPRESS","139","E 45TH ST",10017,"2126614280","Chinese",NA,"139, E 45TH ST, New York, NY",NA,NA
"151","SHUKA","38","MACDOUGAL STREET",10012,"2124757500","American",NA,"38, MACDOUGAL STREET, New York, NY",-74.0028594,40.7270504
"152","BAR BOULUD","1900","BROADWAY",10025,"2125950303","French",NA,"1900, BROADWAY, New York, NY",-73.9813859,40.7715824
"153","INTERNATIONAL FLAVORS  & FRAGRANCES","521","WEST   57 STREET",10019,"2127087160","American","A","521, WEST   57 STREET, New York, NY",-73.9895225,40.7698378
"154","MARINA GOURMET DELI.","246","EAST   23  STREET",10010,"3472445197","American",NA,"246, EAST   23  STREET, New York, NY",-73.9814648,40.7379149
"155","OCABANON","245","W 29TH ST",10001,"6466697879","French","B","245, W 29TH ST, New York, NY",NA,NA
"156","BRICKYARD GASTRO PUB","785","9 AVENUE",10019,"2127670077","American","A","785, 9 AVENUE, New York, NY",-73.9881222,40.7650666
"157","EL VALLE SEAFOOD RESTAURANT","231","SHERMAN AVE",10034,"2015434697","Spanish",NA,"231, SHERMAN AVE, New York, NY",NA,NA
"158","MAISON HARLEM RESTAURANT","341","ST NICHOLAS AVENUE",10027,"2122229224","French",NA,"341, ST NICHOLAS AVENUE, New York, NY",-73.9516109,40.8123152
"159","MILANES SPANISH RESTAURANT","168","WEST   25 STREET",10001,"2122439797","Spanish",NA,"168, WEST   25 STREET, New York, NY",-73.9944579,40.7450473
"160","T 45","135","W 45TH ST",10036,"6466403775","American","A","135, W 45TH ST, New York, NY",NA,NA
"161","CHAI THAI KITCHEN","930","8TH AVE",10019,"2127078778","Thai","A","930, 8TH AVE, New York, NY",-73.983485,40.7654117
"162","FAMOUS AMADEUS PIZZA","840","8 AVENUE",10019,"2124896187","Pizza/Italian","B","840, 8 AVENUE, New York, NY",-73.9853784,40.7624081
"163","PETRARCA","34","WHITE STREET",10013,"2126252800","Italian","A","34, WHITE STREET, New York, NY",NA,NA
"164","BUVETTE","42","GROVE STREET",10014,"6464796864","French","A","42, GROVE STREET, New York, NY",NA,NA
"165","BARILLA RESTAURANTS","108","W 32ND ST",10001,"6468477171","Italian",NA,"108, W 32ND ST, New York, NY",-73.9890863,40.748454
"166","PAPA JOHN'S","2119","1ST AVE",10029,"2129967272","Pizza","B","2119, 1ST AVE, New York, NY",NA,NA
"167","THE DEAD POET","450","AMSTERDAM AVE",10024,"2125955670","Irish",NA,"450, AMSTERDAM AVE, New York, NY",-73.9773785,40.7849918
"168","RATHBONES PUB","1702","2 AVENUE",10128,"2123697361","American",NA,"1702, 2 AVENUE, New York, NY",-73.9503721,40.7792488
"169","LA TRAVIATA PIZZA","101","WEST   68 STREET",10023,"2127211101","Pizza",NA,"101, WEST   68 STREET, New York, NY",NA,NA
"170","BOXERS NYC","37","WEST   20 STREET",10011,"2122555082","American",NA,"37, WEST   20 STREET, New York, NY",-73.9931495,40.7407505
"171","99 CENTS FAMOUS PIZZA","1","E 28TH ST",10016,"6464075650","Pizza","A","1, E 28TH ST, New York, NY",-73.9870023,40.7447029
"172","STIR CAFE","32","BROADWAY",10004,"2124255123","American",NA,"32, BROADWAY, New York, NY",-74.0129819,40.7058715
"173","HOP LEE RESTARANT","16","MOTT STREET",10013,"2129626475","Chinese",NA,"16, MOTT STREET, New York, NY",-73.9984927,40.7142315
"174","WIMPYS RESTAURANT","23","EAST  109 STREET",10029,"2123484252","American",NA,"23, EAST  109 STREET, New York, NY",-73.9484134,40.7957818
"175","KANOYAMA","175","2 AVENUE",10003,"2127775266","Japanese","B","175, 2 AVENUE, New York, NY",NA,NA
"176","ATRIO","102","NORTH END AVENUE",10282,"2129450100","American",NA,"102, NORTH END AVENUE, New York, NY",NA,NA
"177","MACARON PARLOUR","560","COLUMBUS AVE",10024,"2127999169","Caf̩/Coffee/Tea",NA,"560, COLUMBUS AVE, New York, NY",NA,NA
"178","VIVE LA CREPE","189","COLUMBUS AVENUE",10023,"2129330486","Caf̩/Coffee/Tea","A","189, COLUMBUS AVENUE, New York, NY",-73.9803166,40.7750114
"179","NATSUMI","226","WEST   50 STREET",10019,"2122582988","Japanese",NA,"226, WEST   50 STREET, New York, NY",NA,NA
"180","NEW CHINATOWN RESTAURANT","43417","AVENUE D",10009,"2126712408","Chinese",NA,"43417, AVENUE D, New York, NY",-73.9761402,40.7235415
"181","THE CAFE","2","WEST LOOP RD",10044,"3475562243","Caf̩/Coffee/Tea","Not Yet Graded","2, WEST LOOP RD, New York, NY",-73.9558646,40.7564795
"182","WOK 88","1570","3 AVENUE",10128,"2128288688","Chinese",NA,"1570, 3 AVENUE, New York, NY",-73.95318,40.7803949
"183","MAISON KAYSER","841","BROADWAY",10003,"2126523600","Bakery",NA,"841, BROADWAY, New York, NY",-73.9912212,40.7343
"184","SUSHI REN","1584","2ND AVE",10028,"2127108888","Japanese",NA,"1584, 2ND AVE, New York, NY",-73.9532776,40.7752755
"185","SAFARI","219","W 116TH ST",10026,"9175540265","African","A","219, W 116TH ST, New York, NY",-73.9535534,40.8038583
"186","JAIYA THAI & ORIENTAL RESTAURANT","1553","2 AVENUE",10028,"2127178877","Thai",NA,"1553, 2 AVENUE, New York, NY",-73.9545117,40.7745281
"187","DOMINO'S","3624","BROADWAY",10031,"2129261234","Pizza",NA,"3624, BROADWAY, New York, NY",-73.9481264,40.8289435
"188","SHERMAN'S","121","DIVISION ST",10002,"3473618054","Greek",NA,"121, DIVISION ST, New York, NY",-73.9917951,40.7143209
"189","GUADALUPE BAR AND GRILL","597","WEST 207 STREET",10034,"2123041083","Mexican",NA,"597, WEST 207 STREET, New York, NY",-73.9207576,40.867391
"190","HAN BAT RESTAURANT","53","WEST   35 STREET",10001,"2126295588","Korean",NA,"53, WEST   35 STREET, New York, NY",-73.9863204,40.7501853
