"","DBA","BUILDING","STREET","ZIPCODE","CUISINE.DESCRIPTION"
"39","2 BROS PIZZA/JUICE SHOP","113","E 125TH ST",10035,"Pizza"
"40","ROTH BAR","548","W 22ND ST",10011,"American"
"41","ZINC","82","WEST    3 STREET",10012,"American"
"42","THE CONFESSION BOX","304","EAST   78 STREET",10075,"American"
"43","PANCA","92","7 AVENUE SOUTH",10014,"Peruvian"
"44","WU LIANG YE RESTAURANT","36","WEST   48 STREET",10036,"Chinese"
"45","169 BAR","169","EAST BROADWAY",10002,"American"
"46","BURGER HEAVEN","9","E 53RD ST",10022,"American"
"47","PINOCCHIO RISTORANTE","1748","1 AVENUE",10128,"Italian"
"48","BENGAL TIGER INDIAN FOOD","58","WEST 56TH STREET",10019,"Indian"
"49","HEARTLAND BREWERY","127","WEST   43 STREET",10036,"American"
"50","TARTINE","253","WEST   11 STREET",10014,"English"
"51","ROCKWOOD MUSIC HALL (STAGE ZERO)","196","ALLEN STREET",10002,"American"
"52","LITTLE ITALY PIZZA III","122","UNIVERSITY PLACE",10003,"Pizza/Italian"
"53","ROUGE TOMATE","126","W 18TH ST",10011,"French"
"54","FORTY CARROTS","1000","3 AVENUE",10022,"American"
"55","IL SALUMAIO","1731","2ND AVE",10128,"Italian"
"56","PERK KAFE","1867","2ND AVE",10029,"Caf̩/Coffee/Tea"
"57","WO HOP 17","17","MOTT STREET",10013,"Chinese"
"58","KFC","2755","BROADWAY",10025,"American"
"59","ROSEMARY'S","1820","GREENWICH AVENUE",10011,"Italian"
"60","PAKU PAKUS","1393B","2ND AVE",10021,"Japanese"
"61","CHERRY TAVERN","441","EAST    6 STREET",10009,"American"
"62","HOTEL PIERRE-MAIN KITCHEN","2","EAST   61 STREET",10065,"American"
"63","GILA'S NOSH","221","EAST   23 STREET",10010,"Mediterranean"
"64","CAFE KATJA","79","ORCHARD STREET",10002,"Eastern European"
"65","MADE IN MEXICO","3950","10TH AVE",10034,"Mexican"
"66","MULBERRY PROJECT","149","MULBERRY STREET",10013,"American"
"67","CAFE B'WAY 46","146","W 46TH ST",10036,"American"
"68","EUREST DINING SERVICE (American Express)","200","VESEY STREET",10285,"American"
"69","BABBO RISTORANTE E ENOTECA","110","WAVERLY PLACE",10011,"Italian"
"70","BY CHLOE","185","BLEECKER ST",10012,"Vegetarian"
"71","MALA PROJECT","122","1ST AVE",10009,"Chinese"
"72","EL LINA RESTAURANT","500","WEST  207 STREET",10034,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"73","MAD HATTER SALOON","360","3 AVENUE",10016,"American"
"74","WHISPERS BAR AND RESTAURANT","210","W 94TH ST",10025,"American"
"75","TERRA BLUES","149","BLEEKER STREET",10012,"American"
"76","DELIGHT 28 RESTAURANT","2830","PELL STREET",10013,"Chinese"
"77","WINDFALL","23","WEST   39 STREET",10018,"American"
"78","IPANEMA BAR","252","WEST   14 STREET",10011,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"79","SAVOUR SICHUAN","108","W 39TH ST",10018,"Chinese"
"80","AU BON PAIN","1251","6 AVENUE",10020,"American"
"81","UNO PIZZERIA AND GRILL","432","COLUMBUS AVENUE",10024,"Pizza/Italian"
"82","SUBWAY","281","SAINT NICHOLAS AVE",10027,"Sandwiches"
"83","BIRCH COFFEE","171","E 88TH ST",10128,"Caf̩/Coffee/Tea"
"84","SPEEDY'S DELI","1271","BROADWAY",10001,"American"
"85","SNACKS-N-WHEELS/GREYHOUND FOOD SERVICE","625","8 AVENUE",10018,"American"
"86","O-MAI","158","9 AVENUE",10011,"Vietnamese/Cambodian/Malaysia"
"87","SUSHI NAKAZAWA","23","COMMERCE STREET",10014,"Japanese"
"88","WHISKEY SOCIAL","35","WEST    8 STREET",10011,"American"
"89","PRINT RESTAURANT/PRESS LOUNGE/BANQUET KITCHEN","653","11 AVENUE",10036,"American"
"90","PIERRE LOTI CAFE WINE BAR","53","IRVING PLACE",10003,"Tapas"
"91","VILLAGE NATURAL","46","GREENWICH AVE",10011,"Vegetarian"
"92","GRAPE AND GRAIN","620","EAST    6 STREET",10009,"Caf̩/Coffee/Tea"
"93","EVELYN'S KITCHEN","2317","1 AVENUE",10035,"American"
"94","BONSIGNOUR","35","JANE STREET",10014,"American"
"95","AMC THEATRES","2309","FREDERICK DOUGLAS BOULEVARD",10027,"American"
"96","MINAR INDIAN RESTAURANT","138","WEST   46 STREET",10036,"Indian"
"97","THE CORNER CAFE","729","6TH AVE",10010,"Sandwiches/Salads/Mixed Buffet"
"98","MARTINIQUE CAFE","1260","BROADWAY",10001,"American"
"99","YUI GALLERY & TEA CAFFE","131","ELDRIDGE ST",10002,"Caf̩/Coffee/Tea"
"100","DROP OFF SERVICE","211","AVENUE A",10009,"American"
"101","KLIMAT","77","EAST 7 STREET",10003,"Polish"
"102","THE BAILEY","52","WILLIAM STREET",10005,"American"
"103","DON PEPIS DELICATESSEN","0","AMTRAK LEVEL",10001,"Delicatessen"
"104","JULES BISTRO","65","ST MARKS PLACE",10003,"French"
"105","CROWN FRIED CHICKEN","117","AVENUE D",10009,"Chicken"
"106","LUIGIS GRILL PIZZA","936","8 AVENUE",10019,"Pizza/Italian"
"107","HELL'S CHICKEN","641","10TH AVE",10036,"Chicken"
"108","JUMBO PIZZA","3594","BROADWAY",10031,"Italian"
"109","TARALLUCCI E VINO","15","EAST 18 STREET",10003,"Italian"
"110","KAJITSU","125","EAST   39 STREET",10016,"Japanese"
"111","MOMOFUKU MILK BAR UWS","561","COLUMBUS AVENUE",10024,"Caf̩/Coffee/Tea"
"112","HOUSE OF LASAGNA/LA STANZA","334","LEXINGTON AVE",10016,"Italian"
"113","SAKA GURA","211","EAST   43 STREET",10017,"Japanese"
"114","EASTEND BAR & GRILL","1664","1 AVENUE",10028,"American"
"115","FORT WASHINGTON BAKERY AND DELI","808","WEST  181 STREET",10033,"Delicatessen"
"116","STANTON SOCIAL","99","STANTON STREET",10002,"American"
"117","DAG'S THE PATIO","342","E 47TH ST",10017,"Caf̩/Coffee/Tea"
"118","UPPER EAST CAFE","1048","3RD AVE",10065,"Seafood"
"119","CHOP SHOP KITCHEN","41","W 24TH ST",10010,"Asian"
"120","KOBEYAKI","293","7 AVENUE",10001,"Japanese"
"121","BLARNEY ROCK","137","WEST   33 STREET",10001,"Irish"
"122","JUST SALAD","663","LEXINGTON AVE",10022,"Salads"
"123","THE KATI ROLL COMPANY","229","EAST   53 STREET",10022,"Indian"
"124","THE BITTER END","147","BLEECKER STREET",10012,"American"
"125","AMBER","381","3RD AVE",10016,"Asian"
"126","DALTON'S BAR & GRILL","611","9 AVENUE",10036,"American"
"127","JOE'S SHANGHAI RESTAURANT","24","WEST   56 STREET",10019,"Chinese"
"128","DEGREZIA","231","EAST   50 STREET",10022,"Italian"
"129","VOGA LOUNGE & GRILL","300","AUDUBON AVE",10033,"Spanish"
"130","FRANCISCO'S CENTRO VASCO","159","WEST   23 STREET",10011,"Spanish"
"131","INDIKITCH","25","W 23RD ST",10010,"Indian"
"132","LUKE'S LOBSTER","426","AMSTERDAM AVENUE",10024,"Seafood"
"133","FRESH SALT","146","BEEKMAN STREET",10038,"American"
"134","DON PANCHITO RESTAURANT","2102","AMSTERDAM AVENUE",10032,"Mexican"
"135","MAMASUSHI","3569","BROADWAY",10031,"Asian"
"136","SAIGON VIETNAMESE SANDWICH","369","BROOME ST",10013,"Vietnamese/Cambodian/Malaysia"
"137","AKI SUSHI AND GRILL","720","2ND AVE",10016,"Chinese/Japanese"
"138","LA BROCHETTE STEAKHOUSE.","340","LEXINGTON AVE",10016,"Jewish/Kosher"
"139","LA PANINERIA","1","W 8TH ST",10011,"Italian"
"140","MAY WAH PORK CHOP FAST FOOD","190","HESTER ST",10013,"Chinese"
"141","STK","28","LITTLE WEST   12 STREET",10014,"American"
"142","CARAVAN OF DREAMS","405","EAST    6 STREET",10009,"Vegetarian"
"143","SHILLA KOREAN BARBECUE HOUSE","37","WEST   32 STREET",10001,"Korean"
"144","OYSTER BAR","0","GRAND CENTRAL TERMINAL",10017,"Seafood"
"145","CHI DUMPLINGS & NOODLES","1","W 58TH ST",10019,"Chinese/Japanese"
"146","PARIS BAGUETTE","273","CANAL ST",10013,"Bakery"
"147","SERGIMMO SALUMERIA","456","9 AVENUE",10018,"Italian"
"148","TRUMP CAFE & GRILL","725","5 AVENUE",10022,"American"
"149","THE BREAD FACTORY","935","8 AVENUE",10019,"American"
"150","HOP WON EXPRESS","139","E 45TH ST",10017,"Chinese"
"151","SHUKA","38","MACDOUGAL STREET",10012,"American"
"152","BAR BOULUD","1900","BROADWAY",10025,"French"
"153","INTERNATIONAL FLAVORS  & FRAGRANCES","521","WEST   57 STREET",10019,"American"
"154","MARINA GOURMET DELI.","246","EAST   23  STREET",10010,"American"
"155","OCABANON","245","W 29TH ST",10001,"French"
"156","BRICKYARD GASTRO PUB","785","9 AVENUE",10019,"American"
"157","EL VALLE SEAFOOD RESTAURANT","231","SHERMAN AVE",10034,"Spanish"
"158","MAISON HARLEM RESTAURANT","341","ST NICHOLAS AVENUE",10027,"French"
"159","MILANES SPANISH RESTAURANT","168","WEST   25 STREET",10001,"Spanish"
"160","T 45","135","W 45TH ST",10036,"American"
"161","CHAI THAI KITCHEN","930","8TH AVE",10019,"Thai"
"162","FAMOUS AMADEUS PIZZA","840","8 AVENUE",10019,"Pizza/Italian"
"163","PETRARCA","34","WHITE STREET",10013,"Italian"
"164","BUVETTE","42","GROVE STREET",10014,"French"
"165","BARILLA RESTAURANTS","108","W 32ND ST",10001,"Italian"
"166","PAPA JOHN'S","2119","1ST AVE",10029,"Pizza"
"167","THE DEAD POET","450","AMSTERDAM AVE",10024,"Irish"
"168","RATHBONES PUB","1702","2 AVENUE",10128,"American"
"169","LA TRAVIATA PIZZA","101","WEST   68 STREET",10023,"Pizza"
"170","BOXERS NYC","37","WEST   20 STREET",10011,"American"
"171","99 CENTS FAMOUS PIZZA","1","E 28TH ST",10016,"Pizza"
"172","STIR CAFE","32","BROADWAY",10004,"American"
"173","HOP LEE RESTARANT","16","MOTT STREET",10013,"Chinese"
"174","WIMPYS RESTAURANT","23","EAST  109 STREET",10029,"American"
"175","KANOYAMA","175","2 AVENUE",10003,"Japanese"
"176","ATRIO","102","NORTH END AVENUE",10282,"American"
"177","MACARON PARLOUR","560","COLUMBUS AVE",10024,"Caf̩/Coffee/Tea"
"178","VIVE LA CREPE","189","COLUMBUS AVENUE",10023,"Caf̩/Coffee/Tea"
"179","NATSUMI","226","WEST   50 STREET",10019,"Japanese"
"180","NEW CHINATOWN RESTAURANT","43417","AVENUE D",10009,"Chinese"
"181","THE CAFE","2","WEST LOOP RD",10044,"Caf̩/Coffee/Tea"
"182","WOK 88","1570","3 AVENUE",10128,"Chinese"
"183","MAISON KAYSER","841","BROADWAY",10003,"Bakery"
"184","SUSHI REN","1584","2ND AVE",10028,"Japanese"
"185","SAFARI","219","W 116TH ST",10026,"African"
"186","JAIYA THAI & ORIENTAL RESTAURANT","1553","2 AVENUE",10028,"Thai"
"187","DOMINO'S","3624","BROADWAY",10031,"Pizza"
"188","SHERMAN'S","121","DIVISION ST",10002,"Greek"
"189","GUADALUPE BAR AND GRILL","597","WEST 207 STREET",10034,"Mexican"
"190","HAN BAT RESTAURANT","53","WEST   35 STREET",10001,"Korean"
"191","BAR ASSOCIATION OF THE CITY OF NY KITCHEN","42","WEST   44 STREET",10036,"American"
"192","SABLE","1489","2 AVENUE",10075,"Delicatessen"
"193","VAPOR LOUNGE AND RESTAURANT","4160","BROADWAY",10033,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"194","SUSHI PARA MANHATTAN","1461","3RD AVE",10028,"Japanese"
"195","THE PIT AT PEOPLES IMPROV THEATER","123","EAST   24 STREET",10010,"American"
"196","BROTHERS FISH MARKET","3845","BROADWAY",10032,"Seafood"
"197","ROTISSERIE","225","LIBERTY ST",10281,"American"
"198","EAST VILLAGE SOCIAL","126","ST MARKS PLACE",10009,"American"
"199","SCOTTY'S DINER","336","LEXINGTON AVENUE",10016,"American"
"200","V-BREAD CAFE NY","11","ALLEN ST",10002,"Chinese"
"201","SHUN WEI RESTAURANT","45","CATHERINE STREET",10038,"Chinese"
"202","BLAGGARD'S PUB","8","WEST   38 STREET",10018,"Irish"
"203","NOMO SOHO","9","CROSBY ST",10013,"American"
"204","THE CORNELIA STREET CAFE","29","CORNELIA STREET",10014,"American"
"205","BERMUDEZ BAKERY","1875","LEXINGTON AVENUE",10035,"Bakery"
"206","GREEN APPLE GOURMET","1625","BROADWAY",10019,"Delicatessen"
"207","STAR LITE DELI","212","WEST   44 STREET",10036,"Delicatessen"
"208","TRE SORELLE","61","READE STREET",10007,"Italian"
"209","LE PAIN QUOTIDIEN","1399","MADISON AVE",10029,"American"
"210","TASTY DELI","4020","BROADWAY",10032,"American"
"211","BUDDHA BODAI KOSHER VEGETARIAN RESTAURANT","77","MULBERRY ST",10013,"Vegetarian"
"212","BROTHER JIMMY'S BBQ","416","8 AVENUE",10001,"Barbecue"
"213","DEAN & DELUCA NEW YORK","632","WEST   28 STREET",10001,"American"
"214","TWO BOOTS PIZZA","2547","BROADWAY",10025,"Pizza"
"215","OKA SUSHI","1618","MAIDEN LANE",10038,"Japanese"
"216","RISTORANTE GRIFONE","244","EAST 46 STREET",10017,"Italian"
"217","SUSHI AZABU","428","GREENWICH STREET",10013,"Japanese"
"218","BARNES & NOBLE CAFE","2289","BROADWAY",10024,"Caf̩/Coffee/Tea"
"219","PRIMAVERA PIZZA & PASTA","1005","2 AVENUE",10022,"Pizza/Italian"
"220","YO GO BAR","2310","1ST AVE",10035,"Ice Cream, Gelato, Yogurt, Ices"
"221","IL FORNO/IRON BAR","713","8TH AVENUE",10036,"Pizza/Italian"
"222","CLAUDIO PIZZERIA RESTORANTE","598","10TH AVE",10036,"Pizza/Italian"
"223","A TASTE OF SEAFOOD RESTAURANT","2530","FREDERICK DOUGLASS BLVD",10030,"Seafood"
"224","THE PATRIOT SALOON","110","CHAMBERS STREET",10007,"American"
"225","SUSHI SUSHI","126","MACDOUGAL ST",10012,"Japanese"
"226","COCO & CRU/SWEETWATER SOCIAL","643","BROADWAY",10012,"American"
"227","EMPIRE COLOMBUS","193","COLUMBUS AVENUE",10023,"Chinese/Japanese"
"228","TIO LUCA","421","MALCOLM X BLVD",10037,"Spanish"
"229","MCDONALD'S","3410","BROADWAY",10031,"Hamburgers"
"230","NEW BROADWAY PIZZERIA AND COFFEE","4312","BROADWAY",10033,"American"
"231","SOFRITO","679","RIVERSIDE DR",10031,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"232","SUBWAY","834","2ND AVE",10017,"Sandwiches"
"233","BRASSERIE 8 1/2","9","WEST   57 STREET",10019,"French"
"234","CHIRPING CHICKEN","72","GRAND CENTRAL TERMINAL",10017,"Chicken"
"235","MIMOSA","253271","SHERMAN AVENUE",10034,"American"
"236","MCDONALD'S","336","EAST   23 STREET",10010,"American"
"237","MOE'S CAFE","209","EAST   23 STREET",10010,"American"
"238","PRET A MANGER","342","7 AVENUE",10001,"Sandwiches/Salads/Mixed Buffet"
"239","FAIR FOLKS","96","WEST HOUSTON STREET",10012,"Caf̩/Coffee/Tea"
"240","WHITMAN'S","406","EAST    9 STREET",10009,"American"
"241","DUNKIN' DONUTS, BASKIN ROBBINS","323","W 42ND ST",10036,"Donuts"
"242","BIDDY'S PUB","301","EAST   91 STREET",10128,"American"
"243","JACK'S STIR BREW COFFEE","10","DOWNING STREET",10014,"Caf̩/Coffee/Tea"
"244","TACO BELL, PIZZA HUT EXPRESS","18","EAST   14 STREET",10003,"Pizza"
"245","ETHOS GALLERY","905","1 AVENUE",10022,"Greek"
"246","THE VILLAGE TAVERN","46","BEDFORD STREET",10014,"American"
"247","CITY SANDWICH","649","9 AVENUE",10036,"Sandwiches/Salads/Mixed Buffet"
"248","NEW KIM TUONG RESTAURANT","83","CHRYSTIE STREET",10002,"Chinese"
"249","SAPPHIRE 39","20","W 39TH ST",10018,"Other"
"250","THE MANHATTAN AT TIMES SQUARE","790","7TH AVE",10019,"Caf̩/Coffee/Tea"
"251","CASA APICII","62","W 9TH ST",10011,"Italian"
"252","MADISON & VINE","299","MADISON AVENUE",10017,"American"
"253","COCORON","37","KENMARE STREET",10012,"Japanese"
"254","MIKE'S NOODLE HOUSE","80","NASSAU STREET",10038,"Asian"
"255","THE BEAN","54","2ND AVE",10003,"Caf̩/Coffee/Tea"
"256","JEBON","15","ST MARKS PLACE",10003,"Asian"
"257","CHEN'S EXPRESS KITCHEN","223","E 14TH ST",10003,"Chinese"
"258","SEAMSTRESS","339","EAST   75 STREET",10021,"American"
"259","GAEL PUB","1465","3 AVENUE",10028,"American"
"260","SAUSAGE BOSS","4","PENN PLZ",10121,"Sandwiches"
"261","CACHAPAS Y MAS","107","DYCKMAN STREET",10040,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"262","EAST NOODLE VILLAGE","85","CHRYSTIE ST",10002,"Chinese"
"263","LORENZO & MARIA'S","1418","THIRD AVENUE",10028,"Continental"
"264","NEW ASIA","666","AMSTERDAM AVENUE",10025,"Chinese"
"265","NEW KAM LAI RESTAURANT","890","AMSTERDAM AVENUE",10025,"Chinese"
"266","SZECHUAN GOURMET","242","WEST   56 STREET",10019,"Chinese"
"267","LOCKSMITH WINE & BURGER BAR","4463","BROADWAY",10040,"American"
"268","NANOOSH","173","MADISON AVENUE",10016,"Mediterranean"
"269",NA,"37","W 43RD ST",10036,"Other"
"270","CAFE BEYOND","620","6 AVENUE",10011,"American"
"271","FOOD KING CHINESE RESTAURANT","56","MARKET STREET",10002,"Chinese"
"272","FIKA","1331","LEXINGTON AVE",10128,"Caf̩/Coffee/Tea"
"273","HYATT HOUSE NEW YORK/ CHELSEA","815","AVENUE OF THE AMERICAS",10001,"American"
"274","MAMMA'S FAMOUS PIZZA & BURGERS","2345","BROADWAY",10024,"Pizza"
"275","KARAOKE DUET 48","304","EAST   48 STREET",10017,"American"
"276","ECCO RESTAURANT","124","CHAMBERS STREET",10007,"Italian"
"277","RYAN MAGUIRE'S BAR & RESTAURANT","28","CLIFF STREET",10038,"American"
"278","STREETBIRD","2149","FREDERICK DOUGLASS BOULEVARD",10026,"American"
"279","THREE GUY'S RESTAURANT","960","MADISON AVENUE",10021,"American"
"280","THE CRAFTSMAN","3155","BROADWAY",10027,"American"
"281","MEE'S NOODLE","930","2ND AVE",10022,"Chinese"
"282","DELIS 48","48","W 48 STREET",10036,"American"
"283","EL PASO TAQUERIA","1643","LEXINGTON AVENUE",10029,"Mexican"
"284","ELSEWHERE ESPRESSO","335","EAST    6 STREET",10003,"Caf̩/Coffee/Tea"
"285","53RD GOURMET DELI","1301","AVE OF TH AMER",10019,"American"
"286","CHIKALICIOUS DESSERT BAR","203","EAST   10 STREET",10003,"Other"
"287","OTTO'S SHRUNKEN HEAD","538","EAST   14 STREET",10009,"American"
"288","2BEANS","817","AVENUE OF THE AMERICAS",10001,"Caf̩/Coffee/Tea"
"289","BUDEPEST CAFE","1631","2 AVENUE",10028,"Eastern European"
"290","MOONCAKE FOODS","28","WATTS STREET",10013,"Asian"
"291","NEW RANCHITO","924","AMSTERDAM AVENUE",10025,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"292","MCDONALDS RESTAURANT","18","E 42ND ST",10017,"American"
"293","MCDONALD'S","145","EAST  125 STREET",10035,"Hamburgers"
"294","CAFE ONE","1619","AMSTERDAM AVENUE",10031,"American"
"295","RADIANCE","208","EAST   50 STREET",10022,"Chinese"
"296","RIDGEWAY DINER","664","6 AVENUE",10010,"American"
"297","KINGSLEY","190","AVENUE B",10009,"American"
"298","BITE","211","EAST   14 STREET",10003,"Mediterranean"
"299","PIZZA PLUS","2253","3RD AVE",10035,"Pizza"
"300","GOLDEN CITY","2545","AMSTERDAM AVENUE",10033,"Chinese"
"301","LANDMARK TAVERN","626","11 AVENUE",10036,"Irish"
"302","ROOM MATE GRACE HOTEL","125","WEST   45 STREET",10036,"American"
"303","LUNCH BOX","886","9 AVENUE",10019,"American"
"304","STITCH BAR","247","WEST   37 STREET",10018,"American"
"305","MAISON KAYSER","400","5TH AVE",10018,"French"
"306","Little Gio's Pizza","26","1ST AVE",10009,"Pizza"
"307","SCHILLING","109","WASHINGTON ST",10006,"Eastern European"
"308","EL GRAN VALLE IV RESTAURANT","1944","AMSTERDAM AVE",10032,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"309","PJ BERNSTEIN DELI & RESTAURANT","1215","THIRD AVENUE",10021,"Delicatessen"
"310","VERLAINE","110","RIVINGTON STREET",10002,"Tapas"
"311","LUCKY STRIKE","59","GRAND ST",10013,"American"
"312","DANNY'S DELI","224","WEST   47 STREET",10036,"Delicatessen"
"313","FALUCKA","162","BLEECKER STREET",10012,"American"
"314","DANIELA'S TRATTORIA","728","8 AVENUE",10036,"Italian"
"315","BAR VELOCE","146","WEST HOUSTON STREET",10012,"Tapas"
"316","OLD HOMESTEAD","56","9 AVENUE",10011,"American"
"317","JACKS COFFEE","425","WEST   13 STREET",10014,"Caf̩/Coffee/Tea"
"318","MISSION CHINESE FOOD","171","E BROADWAY",10002,"Chinese"
"319","E'S BAR","511","AMSTERDAM AVE",10024,"American"
"320","DESTINY/NORTH RIVER LOBSTER","PIER 83","@ WEST 43 STREET",10036,"American"
"321","DAILY BAGEL","1111","1ST AVE",10065,"American"
"322","PARLOR STEAK AND FISH","1600","3 AVENUE",10128,"Steak"
"323","THREE DECKER RESTAURANT","1746","2 AVENUE",10128,"American"
"324","O'HARA'S","120","CEDAR STREET",10006,"American"
"325","CHINA XIANG","360","W 42ND ST",10036,"Asian"
"326","BOHEMIAN","321","EAST   73 STREET",10021,"American"
"327","PEE DEE STEAK","2006","3 AVENUE",10029,"American"
"328","SAXON & PAROLE","316","BOWERY",10012,"American"
"329","HUNAN PARK","721","COLUMBUS AVE",10025,"Chinese"
"330","AMY'S BREAD","672","9 AVENUE",10036,"Bakery"
"331","THE KITCHEN SINK","88","2 AVENUE",10003,"American"
"332","AU JUS","1762","1ST AVE",10128,"Greek"
"333","RED EYE COFFEE","423","9TH AVE",10001,"Caf̩/Coffee/Tea"
"334","STARBUCKS","124","8 AVENUE",10011,"Caf̩/Coffee/Tea"
"335","TSION CAFE & BAKERY","763","SAINT NICHOLAS AVE",10031,"Ethiopian"
"336","FRANCOIS PAYARD BAKERY","116","WEST HOUSTON STREET",10012,"Bakery"
"337","LEXLER DELI","405","LEXINGTON AVENUE",10174,"Sandwiches/Salads/Mixed Buffet"
"338","WHISKEY TAVERN","79","BAXTER STREET",10013,"American"
"339","COPPOLA'S","378","3 AVENUE",10016,"Italian"
"340","ABA TURKISH RESTAURANT","325","WEST   57 STREET",10019,"Turkish"
"341","FOUR POINTS SHERATON","326","WEST   40 STREET",10018,"American"
"342","NARE SUSHI","115","E 57TH ST",10022,"Japanese"
"343","SHINBASHI JAPANESE RESTAURANT","7","EAST 48 STREET",10017,"Japanese"
"344","THE PIZZA PUB / AMPERSAND","294","3 AVENUE",10010,"Pizza"
"345","FUEL GRILL AND JUICE BAR","683","9TH AVE",10036,"American"
"346","59 CHINA","59","NASSAU ST",10038,"Chinese"
"347","FAHR FRESH AND HOT PIZZA","117","ORCHARD ST",10002,"Pizza"
"348","CHINA STAR","145","1ST AVE",10003,"Chinese"
"349","THE WARREN","131","CHRISTOPHER ST",10014,"American"
"350","LEO'S BAGELS","3","HANOVER SQUARE",10004,"Bagels/Pretzels"
"351","MONTEBELLO RESTAURANT","120","EAST   56 STREET",10022,"Italian"
"352","THE WING SOHO","52","MERCER ST",10013,"American"
"353","PORTO BELLO RESTAURANT","208","THOMPSON STREET",10012,"Italian"
"354","JAVA GIRL","348","EAST   66 STREET",10065,"Caf̩/Coffee/Tea"
"355","FLUFFY'S CAFE & PIZZERIA","370","W 58TH ST",10019,"American"
"356","SAIKAI","24","GREENWICH AVE",10011,"Japanese"
"357","SAL AND CARMINE PIZZA","2671","BROADWAY",10025,"Pizza"
"358","HARDING'S","32","EAST 21 STREET",10010,"American"
"359","K RICO","772","9TH AVE",10019,"American"
"360","DUNKIN' DONUTS","127","EAST   23 STREET",10010,"Donuts"
"361","THE ROXY HOTEL","32","WHITE STREET",10013,"American"
"362","ESSEX","120","ESSEX STREET",10002,"American"
"363","FLAME","100","W 82ND ST",10024,"Japanese"
"364","LUIGI PIZZA","304","8 AVENUE",10001,"Pizza"
"365","HANAMIZUKI CAFE","143","W 29TH ST",10001,"Japanese"
"366","WOK CITY","153-155","AMSTERDAM AVE",10023,"Chinese"
"367","CRANBERRY CAFE","115","WEST   45 STREET",10036,"American"
"368","TOLOACHE","166","EAST   82 STREET",10028,"Mexican"
"369","BLONDIES","212","WEST   79 STREET",10024,"American"
"370","YUMMY SUSHI","30","ROCKFEELLER PLAZA",10020,"Japanese"
