"","DBA","BUILDING","STREET","ZIPCODE","CUISINE.DESCRIPTION"
"5115","FRIEDMANS 47TH","288","W 47TH ST",10036,"Other"
"5116","AJISAI JAPANESE RESTAURANT","615","9 AVENUE",10036,"Japanese"
"5117","HOUSEMAN RESTAURANT","508","GREENWICH ST",10013,"American"
"5118","BLUEMAIZ","606","8TH AVE",10018,"American"
"5119","POTBELLY SANDWICH SHOP","22","EAST   17 STREET",10003,"Sandwiches/Salads/Mixed Buffet"
"5120","EMPIRE KITCHEN","563A","W 207TH ST",10034,"Chinese"
"5121","ROSSINI'S","108","EAST   38 STREET",10016,"Italian"
"5122","BAMBOO SUSHI","1280","1ST AVENUE",10065,"Japanese"
"5123","KAME RAMEN","435","PARK AVENUE SOUTH",10016,"Japanese"
"5124","THE GASTRO BAR","345","W 35TH ST",10001,"Tapas"
"5125","LANTERN THAI","311","2 AVENUE",10003,"Thai"
"5126","TIPSY SCOOP","217","E 26TH ST",10010,"Ice Cream, Gelato, Yogurt, Ices"
"5127","ICHIBA RAMEN","125","UNIVERSITY PL",10003,"Japanese"
"5128","BREAK ROOM","83","BAXTER ST",10013,"American"
"5129","PAPPARDELLA","316","COLUMBUS AVENUE",10023,"Italian"
"5130","OSCAR WILDE'S","45","W 27TH ST",10001,"American"
"5131","BOBAMOSA","1300","MADISON AVE",10128,"Caf̩/Coffee/Tea"
"5132","ASHTON'S ALLEY","825","3 AVENUE",10022,"American"
"5133","MINUS5 ICE BAR","1335","AVENUE OF AMERICAS",10019,"Bottled beverages, including water, sodas, juices, etc."
"5134","HUNTER COLLEGE","425","EAST   25 STREET",10010,"Caf̩/Coffee/Tea"
"5135","HENRY'S","2745","BROADWAY",10025,"American"
"5136","IL BAMBINO","48","W 8TH ST",10011,"American"
"5137","ZOMA","2084","FREDRICK DOUGLAS BOULEVARD",10026,"Ethiopian"
"5138","TINA'S RESTAURANT","23","WEST 56 STREET",10019,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"5139","JUICE PRESS @ EQUINOX","54","MURRAY ST",10007,"Juice, Smoothies, Fruit Salads"
"5140","THE DOG HOUSE","160","W 25TH ST",10001,"American"
"5141","FUSCO","43","E 20TH ST",10003,"Other"
"5142","SARABETH'S","339","GREENWICH STREET",10013,"American"
"5143","LE BOTANISTE","833","LEXINGTON AVE",10065,"Vegetarian"
"5144","WENDY'S","650","BROADWAY",10012,"American"
"5145","MELBA'S","300","WEST  114 STREET",10026,"American"
"5146","CARIDAD RESTAURANT","554","WEST  181 STREET",10033,"Spanish"
"5147","MACHIAVELLI","519","COLUMBUS AVENUE",10024,"Italian"
"5148","JUICEGO","333","E 9TH ST",10003,"Juice, Smoothies, Fruit Salads"
"5149","VIA TRENTA PIZZOTECA","536","W 30TH ST",10001,"Italian"
"5150","AMSTERDAM GOURMET","403 A","AMSTERDAM AVENUE",10024,"Delicatessen"
"5151","VINUS AND MARC","1825","2ND AVE",10128,"American"
"5152","TO TWO BOONSIK","97","CANAL ST",10002,"Korean"
"5153","YUE LAI BAKERY","137","EAST BROADWAY",10002,"Chinese"
"5154","THE DOUGHNUT PROJECT","10","MORTON ST",10014,"Donuts"
"5155","LURE FISHBAR","142","MERCER STREET",10012,"Seafood"
"5156","DUNKIN' DONUTS, BASKIN ROBBINS, SUBWAY","302","5 AVENUE",10001,"Donuts"
"5157","GUY'S AMERICAN KITCHEN & BAR","220","WEST   44 STREET",10036,"American"
"5158","SAUCE & BARREL","13-21","RECTOR ST",10006,"Other"
"5159","MEME MEDITERRANEAN","581","HUDSON STREET",10014,"Mediterranean"
"5160","O'DONOGHUE'S","156","WEST   44 STREET",10036,"American"
