"","DBA","BUILDING","STREET","ZIPCODE","CUISINE.DESCRIPTION"
"7259","PAPI'S PIZZERIA","1422","ST NICHOLAS AVENUE",10033,"Pizza"
"7260","RESOBOX","91","E 3RD ST",10003,"Japanese"
"7261","DUNKIN' DONUTS","916","3RD AVE",10022,"Donuts"
"7262","LA NEWYORKINA","NKA","W 17TH ST",10011,"Ice Cream, Gelato, Yogurt, Ices"
"7263","NEW YORK UNIVERSITY - COURTYARD CAFE","75","3 AVENUE",10003,"American"
"7264","DUNKIN' DONUTS","200","W 54TH ST",10019,"Donuts"
"7265","TUTTLES","735","2 AVENUE",10016,"American"
"7266","BARNES & NOBLE CAFE","97","WARREN STREET",10007,"Caf̩/Coffee/Tea"
"7267","GRULLON BAKERY","3522","BROADWAY",10031,"Bakery"
"7268","NEW HOME SING RESTAURANT","3355","BROADWAY",10031,"Chinese"
"7269","MCDONALD'S","2549","BROADWAY",10025,"Hamburgers"
"7270","THIRD RAIL COFFEE","240","SULLIVAN STREET",10012,"Caf̩/Coffee/Tea"
"7271","JUST SALAD","2056","BROADWAY",10023,"Salads"
"7272","DIG INN / MATCHABAR","70","PRINCE ST",10012,"American"
"7273","BLUE RIBBON BAR","34","DOWNING STREET",10014,"American"
"7274","SIP FRESCO","3590","BROADWAY",10031,"Juice, Smoothies, Fruit Salads"
"7275","SHU JIAO FUZHOUESE CUISINE","118","ELDRIDGE ST",10002,"Chinese"
"7276","GREGORYS COFFEE","649","BROADWAY",10012,"Caf̩/Coffee/Tea"
"7277","STARBUCKS","1","PACE PLAZA",10038,"Caf̩/Coffee/Tea"
"7278","CERTE CATERING","20","WEST   55 STREET",10019,"American"
"7279","MALAPARTE","753","WASHINGTON STREET",10014,"Italian"
"7280","FILICORI ZECCHINI","1","BROADWAY",10004,"American"
"7281","ROSE HILL","34","E 32ND ST",10016,"American"
"7282","SCHNIPPER'S","23","EAST   23 STREET",10010,"American"
"7283","ASIAM THAI CUISINE","259","FIRST AVENUE",10003,"Thai"
"7284","MARKET TABLE","54","CARMINE STREET",10014,"American"
"7285","THE TRIAD","158","WEST   72 STREET",10023,"American"
"7286","CAPTAIN'S CAFE 33","18","E 33RD ST",10016,"Caf̩/Coffee/Tea"
"7287","SMILE TO GO","22","HOWARD STREET",10013,"American"
"7288","ZIA MARIA","318","W 23RD ST",10011,"Pizza/Italian"
"7289","STARBUCKS","55","BROAD ST",10004,"Caf̩/Coffee/Tea"
"7290","ZAWA JAPANESE","354","E 66TH ST",10065,"Other"
"7291","JONES WOOD FOUNDRY","401","EAST   76 STREET",10021,"English"
"7292","CAROL'S CAFE","217","E 51ST ST",10022,"American"
"7293","PANDA HOUSE","82","NAGLE AVENUE",10040,"Chinese"
"7294","VIRGINIA'S","647","E 11TH ST",10009,"American"
"7295","KOBEYAKI","215","E 86TH ST",10028,"Japanese"
"7296","MIMI CHENG'S DUMPLINGS","380","BROOME ST",10013,"Chinese"
"7297","BEP GA","70","FORSYTH ST",10002,"Vietnamese/Cambodian/Malaysia"
"7298","TELEON CAFE","264","WEST   40 STREET",10018,"American"
"7299","SHERRY B DESSERT STUDIO","643","HUDSON ST",10014,"Other"
"7300","UMMBURGER","99","1ST AVE",10003,"Hamburgers"
"7301","FAMOUS ORIGINAL RAY'S PIZZA","204","9 AVENUE",10011,"Pizza"
"7302","BOULE & CHERIE","170","AMSTERDAM AVE",10023,"Caf̩/Coffee/Tea"
"7303","CAPITOL RESTAURANT","4933","BROADWAY",10034,"American"
"7304","IRVING FARM COFFEE ROASTERS","1424","3RD AVE",10028,"Caf̩/Coffee/Tea"
"7305","AILEY BOUTIQUE","405","WEST   55 STREET",10019,"American"
"7306","WARREN 77","77","WARREN STREET",10007,"American"
"7307","CORK & KALE AT EVEN HOTEL","321","W 35TH ST",10001,"American"
"7308","BURP CASTLE","41","EAST    7 STREET",10003,"American"
"7309","LI'L JAYS CAFE","524","W 59TH ST",10019,"Caf̩/Coffee/Tea"
"7310","LILLIE'S RESTAURANT","13","EAST   17 STREET",10003,"American"
"7311","SALINAS","136","9 AVENUE",10011,"Spanish"
"7312","DOUGHNUTTERY","425","W 15TH ST",10011,"American"
"7313","SWEETCATCH POKE","60","W 44TH ST",10036,"Seafood"
"7314","SUBWAY","150","W 47TH ST",10036,"Sandwiches/Salads/Mixed Buffet"
"7315","ISE","63","COOPER SQUARE",10003,"Japanese"
"7316","RAICES","565","W 207TH ST",10034,"Spanish"
"7317","CORAL DINER","3801","BROADWAY",10032,"American"
"7318","MCDONALD'S","688","8 AVENUE",10036,"Hamburgers"
"7319","REDFARM","2170","BROADWAY",10024,"Asian"
"7320","LE CAFE (CREDIT AGRICOLE)","1301","AVENUE OF THE AMERICAS",10019,"American"
"7321","RAO'S BAR & GRILL","455","EAST  114 STREET",10029,"Italian"
"7322","NEW YORK UNIVERSITY- HALL CAFE/BURGER STUDIO","110","EAST   14 STREET",10003,"American"
"7323","JASPER'S TAPHOUSE & KITCHEN","761","9TH AVE",10019,"American"
"7324","HALE & HEARTY SOUP","286","MADISON AVENUE",10017,"Soups & Sandwiches"
"7325","DENINO'S PIZZERIA & TAVERN","93","MACDOUGAL ST",10012,"Pizza/Italian"
"7326","SUBWAY","731","COLUMBUS AVENUE",10025,"Sandwiches"
"7327","WEST SIDE STEAKHOUSE","597","10 AVENUE",10036,"Steak"
"7328","THE GREEN HOUSE","341","W 36TH ST",10018,"American"
"7329","LINCOLN PLAZA CINEMAS","30","LINCON PLAZA",10023,"American"
"7330",NA,"16","E 48TH ST",10017,"Other"
"7331","EUGENE O'NEILL THEATRE","230","WEST   49 STREET",10019,"American"
"7332","NERAI","55","EAST   54 STREET",10022,"Greek"
"7333","AMBASSADOR FOOD SERVICES CORPORATION","521","W 49TH ST",10019,"Other"
"7334","HARRY AND IDA'S LUNCHEONETTE","11","PARK PL",10007,"American"
"7335","JOE & THE JUICE","1758","BROADWAY",10019,"Caf̩/Coffee/Tea"
"7336","DIRT CANDY","86","ALLEN ST",10002,"Vegetarian"
"7337","ELI ZABAR","922","MADISON AVE",10021,"American"
"7338","SHAKESPEARE & CO","939","LEXINGTON AVE",10065,"Caf̩/Coffee/Tea"
"7339","PAM REAL THAI 49","404","W 49TH ST",10019,"Thai"
"7340","EMPANADAS MONUMENTAL","1344","AMSTERDAM AVE",10027,"Spanish"
"7341","VAI","429","AMSTERDAM AVENUE",10024,"Mediterranean"
"7342","AZUKI","700","8TH AVE",10001,"Asian"
"7343","NEW FRESCO TORTILLAS","63","READE STREET",10007,"Tex-Mex"
"7344","SUGAR FACTORY MEATPACKING","835","WASHINGTON ST",10014,"American"
"7345","REGAL CINEMAS","247","WEST 42 STREET",10036,"American"
"7346","TACOS CUAUTLA MORALES","438","E 9TH ST",10009,"Mexican"
"7347","CHINESE TUXEDO","5","DOYERS ST",10013,"Chinese"
"7348","STARBUCKS","200","MADISON AVENUE",10016,"Caf̩/Coffee/Tea"
"7349","AHIMSA","210","THOMPSON ST",10012,"Indian"
"7350","COLUMBIA UNIVERSITY MEDICAL CENTER BOOKSTORE CAFE","711","W 168TH ST",10032,"Caf̩/Coffee/Tea"
"7351","DUNKIN' DONUTS","122","FULTON ST",10038,"Donuts"
"7352","THE HALF PINT","234","THOMPSON STREET",10012,"American"
"7353","THE MODERN","11","WEST   53 STREET",10019,"French"
"7354","CAFE 47","47","WEST   66 STREET",10023,"American"
"7355","JEEPNEY","201","FIRST AVE",10003,"Filipino"
"7356","NATIONAL ARTS CLUB","15","GRAMERCY PARK SOUTH",10003,"American"
"7357","DON GIOVANNI RESTAURANT","214","10 AVENUE",10011,"Italian"
"7358","PASHA TURKISH RESTAURANT","64","WEST   71 STREET",10023,"Turkish"
"7359","RUE 57","60","WEST   57 STREET",10019,"French"
"7360","BLUE DOG","112","E 23RD ST",10010,"Sandwiches/Salads/Mixed Buffet"
"7361","FOOD PASSION","1200","LEXINGTON AVE",10028,"Continental"
"7362","COFFEE BREAK","929","AMSTERDAM AVE",10025,"Bakery"
"7363","BLIMPIE","69","NASSAU STREET",10038,"Sandwiches"
"7364","INDUSTRY KITCHEN","70","SOUTH ST",10005,"American"
"7365","DUNKIN' DONUTS","210","WEST 50 STREET",10019,"Donuts"
"7366","TIMNA","109","SAINT MARKS PL",10009,"Mediterranean"
"7367","THE IMMIGRANT NYC","341","EAST    9 STREET",10003,"American"
"7368","SUSHI GINZA ONODERA","461","5TH AVE",10017,"Japanese"
"7369","COCO FRESH JUICE AND TEA","118","W 72ND ST",10023,"Caf̩/Coffee/Tea"
"7370","99 CENTS FRESH PIZZA","473-A","LEXINGTON AVE",10017,"Pizza"
"7371","JAKE'S SALOON","206","WEST   23 STREET",10011,"Irish"
"7372","BOQUERIA","1460","2ND AVE",10075,"Tapas"
"7373","ICELANDIC FISH & CHIPS","28","7TH AVE S",10014,"American"
"7374","DEAD RABBIT TAVERN","30","WATER STREET",10004,"Irish"
"7375","SHUN CHEONG iKITCHEN","43135","WEST 111 STREET",10026,"Chinese"
"7376","JARS BY DANI","540","6TH AVE",10011,"Nuts/Confectionary"
"7377","BENITO ONE","174","MULBERRY STREET",10013,"Italian"
"7378","HUA JI PORK CHOP","7","ALLEN ST",10002,"Chinese"
"7379","CARRAGHER'S","228","W 39TH ST",10018,"Irish"
"7380","LE PAIN QUOTIDIEN","801","BROADWAY",10003,"Sandwiches"
"7381","WXYZ BAR","49","ANN ST",10038,"American"
"7382","YONEKICHI","746","9TH AVE",10019,"Japanese"
"7383","HOT N FRESH","200","W 40TH ST",10018,"Indian"
"7384","CAFFE DEI FIORI RISTORANTE","973","LEXINGTON AVE",10021,"Italian"
"7385","BROOKLYN DIAMOND COFFEE","240","E 54TH ST",10022,"Caf̩/Coffee/Tea"
"7386","HALE & HEARTY SOUP","2284","BROADWAY",10024,"Soups & Sandwiches"
"7387","PONGAL INDIAN CUISINE","110","LEXINGTON AVENUE",10016,"Indian"
"7388","SUBWAY, CARVEL","112","JOHN ST",10038,"Sandwiches"
"7389","NINTH STREET ESPRESSO","341","EAST 10 STREET",10009,"Caf̩/Coffee/Tea"
"7390","BARROW'S PUB","463","HUDSON STREET",10014,"Irish"
"7391","EET","75","VARICK STREET",10013,"American"
"7392","PIZZARTE","69","WEST   55 STREET",10019,"Italian"
"7393","MARLOW BISTRO","1018","AMSTERDAM AVE",10025,"Mediterranean"
"7394",NA,"425","E 9TH ST",10009,"Other"
"7395","KHE-YO","157","DUANE STREET",10013,"Thai"
"7396","LINCOLN CENTER KITCHEN @ DAVID GEFFEN HALL","132","WEST   65 STREET",10023,"American"
"7397","BEANOCCHIOS CAFE","1431","YORK AVENUE",10021,"American"
"7398","ROKI LE IZAKAYA","12","W 21ST ST",10010,"Japanese"
"7399","FRANKIE & JOHNNIE'S STEAKHOUSE","320","W 46TH ST",10036,"Steak"
"7400","ISLAND","1305","MADISON AVENUE",10128,"Seafood"
"7401","Aji Sushi","519","3RD AVE",10016,"Japanese"
"7402","COOPERS CRAFT AND KITCHEN","169","8TH AVE",10011,"American"
"7403","BONMI VIETNAMESE","119","E 23RD ST",10010,"Vietnamese/Cambodian/Malaysia"
"7404","ROYAL FRIED CHICKEN","13","AVENUE D",10009,"Chicken"
"7405","PAGANI","289","BLEECKER ST",10014,"Italian"
"7406","RABU HOUSE JAPANESE AND THAI CUISINE","547","2ND AVE",10016,"Japanese"
"7407","GOEMON CURRY","29","KENMARE ST",10012,"Japanese"
"7408","PROPOSITO DE VIDA","180","E 104TH ST",10029,"Caf̩/Coffee/Tea"
"7409","GALAXY  DINER","665","9 AVENUE",10036,"American"
"7410","SUBWAY","2508","BROADWAY",10025,"Sandwiches"
"7411","MACARON CAFE","44","EAST   59 STREET",10022,"Caf̩/Coffee/Tea"
"7412","LE RELAIS DE VENISE","590","LEXINGTON AVENUE",10154,"French"
"7413","WOMENS NATL. REPUBLICAN CLUB","3","WEST   51 STREET",10019,"American"
"7414","TOTOYA","1144","1 AVENUE",10065,"Japanese"
"7415","AMAZED PALACE","689","9TH AVE",10036,"Asian"
"7416","EAT CLUB INC","17","W 20TH ST",10011,"American"
"7417","SUNDAES AND CONES","95","EAST   10 STREET",10003,"Ice Cream, Gelato, Yogurt, Ices"
"7418","DUNKIN' DONUTS","206","W 104TH ST",10025,"Donuts"
"7419","CHIPOTLE MEXICAN GRILL","405","6 AVENUE",10014,"Mexican"
"7420","JUICE PRESS @EQUINOX","344","AMSTERDAM AVE",10024,"Juice, Smoothies, Fruit Salads"
"7421","PLAYA BOWLS","550","W 54TH ST",10019,"Juice, Smoothies, Fruit Salads"
"7422","POTBELLY SANDWICH WORKS","127","FULTON ST",10038,"American"
"7423","THE BEAN","31","3RD AVE",10003,"Other"
"7424","PRET A MANGER","400","PARK AVENUE",10022,"Sandwiches"
"7425","TIR NA NOG","254","W 31ST ST",10001,"Irish"
"7426","TOAD HALL","57","GRAND STREET",10013,"American"
"7427","ROOM SERVICE","690","9TH AVE",10036,"Thai"
"7428","ALIBABA","515","AMSTERDAM AVENUE",10024,"Jewish/Kosher"
"7429","WASABI SUSHI BENTO 6TH AVE","1016","6TH AVE",10018,"Japanese"
"7430","AMBROSIA","8","WEST   45 STREET",10036,"Korean"
"7431","NYC HANDCRAFTED","367","3RD AVE",10016,"American"
"7432","DUNKIN' DONUTS","1024","1 AVENUE",10022,"Donuts"
"7433","INTERNATIONAL HOUSE DINING","500","RIVERSIDE DR",10027,"American"
"7434","SHAKE SHACK","366","COLUMBUS AVENUE",10024,"Hamburgers"
"7435","THE BISTRO","307","W 37TH ST",10018,"American"
"7436","BLUE SMOKE","255","VESEY STREET",10282,"Barbecue"
"7437","KLONG","7","SAINT MARKS PL",10003,"Thai"
"7438","JOE COFFEE","1045","LEXINGTON AVENUE",10021,"Caf̩/Coffee/Tea"
"7439","CHIPOTLE MEXICAN GRILL","281","BROADWAY",10007,"Mexican"
"7440","COFESTA","33","W 26TH ST",10010,"Caf̩/Coffee/Tea"
"7441","98 Favor Taste","37","SAINT MARKS PL",10003,"Chinese"
"7442","DUNKIN' DONUTS","2258","1ST AVENUE",10035,"Donuts"
"7443","SEL ET POIVRE RESTAURANT","853","LEXINGTON AVENUE",10065,"French"
"7444","SUSHIRRITO","12","W 23RD ST",10010,"Japanese"
"7445","WASSAIL","162","ORCHARD ST",10002,"American"
"7446","WAGAMAMA","210","5TH AVE",10010,"Japanese"
"7447","THE MARK RESTAURANT","25","EAST   77 STREET",10075,"American"
"7448","KAM HING CAFE","118","BAXTER ST",10013,"Bakery"
"7449","99 CENTS FRESH PIZZERIA","158","E 39TH ST",10016,"Pizza"
"7450","AMERICAN GIRL CAFE","609","5 AVENUE",10017,"American"
"7451","SWIFT","34","EAST    4 STREET",10003,"Irish"
"7452","DOMENICO VACCA","15","W 55TH ST",10019,"Caf̩/Coffee/Tea"
"7453","STARBUCKS","100","WILLIAM STREET",10038,"Caf̩/Coffee/Tea"
"7454","STARBUCKS","1261","LEXINGTON AVENUE",10028,"Caf̩/Coffee/Tea"
"7455","JOE: THE ART OF COFFEE","44","GRAND CENTRAL TERMINAL",10017,"Caf̩/Coffee/Tea"
"7456","HU KITCHEN","78","5 AVENUE",10011,"American"
"7457","KORILLA EAST VILLAGE","23","3RD AVE",10003,"Korean"
"7458","BALVANERA","152","STANTON ST",10002,"Spanish"
"7459","FUKU","163","1ST AVE",10003,"American"
"7460","99 CENT FRESH PIZZA","151","E 43RD ST",10017,"Pizza"
"7461","KETCH BREWHOUSE","6","PLATT ST",10038,"American"
"7462","P.J. CLARKE'S","915","3 AVENUE",10022,"American"
"7463","EMPLOYEE'S ONLY","510","HUDSON STREET",10014,"American"
"7464","RUSS & DAUGHTERS AT THE JEWISH MUSEUM","1109","5TH AVE",10128,"Jewish/Kosher"
"7465","INTI N.Y.C.","820","10 AVENUE",10019,"Peruvian"
"7466","CHOP CHOP","501","WEST  184 STREET",10033,"Jewish/Kosher"
"7467","PIE","124","4 AVENUE",10003,"Pizza"
"7468","LITTLE CAESARS","1936","3RD AVE",10029,"Pizza"
"7469","LA COLOMBE TORREFACTION","319","CHURCH STREET",10013,"Caf̩/Coffee/Tea"
"7470","ANGKOR CAMBODIAN BISTRO","408","E 64TH ST",10065,"Asian"
"7471","SHENG DA CHINESE FOOD RESTAURANT","27","ELDRIDGE ST",10002,"Chinese"
"7472","KONEKO","26","CLINTON ST",10002,"Caf̩/Coffee/Tea"
"7473","AQUA GRILL","210","SPRING STREET",10012,"Seafood"
"7474","SUBWAY","520","9TH AVE",10018,"Sandwiches/Salads/Mixed Buffet"
"7475","THE CAMPBELL","15","VANDERBILT AVE",10017,"American"
"7476","SAN REMO CAFE","201","LAFAYETTE ST",10012,"French"
"7477","JUICOLOGY","387","8TH AVE",10001,"Juice, Smoothies, Fruit Salads"
"7478","THAI TERMINAL","349","E 12TH ST",10003,"Thai"
"7479","MOTEL MORRIS","132","7TH AVE",10011,"Other"
"7480","CAFE BUUNNI","213","PINEHURST AVENUE",10033,"Caf̩/Coffee/Tea"
"7481","LUSARDI'S RESTAURANT","1494","SECOND AVENUE",10075,"Italian"
"7482","GETTING HUNGRY","225","VARICK ST",10014,"Delicatessen"
"7483","PRET A MANGER","601","8TH AVE",10018,"Other"
"7484","TERTULIA","359","6 AVENUE",10014,"Spanish"
"7485","PEOPLES CHOICE KITCHEN","2733","8 AVENUE",10039,"Caribbean"
"7486","GARDEN GRILL & BAR","63","W 35TH ST",10001,"American"
"7487","WALTER KERR THEATRE","219","WEST   48 STREET",10036,"American"
"7488","J. RESTAURANT","2479","FREDERICK DOUGLAS BOULEVARD",10027,"African"
"7489","GALLO NERO","402","W 44TH ST",10036,"Other"
"7490","59E59 BAR","59","EAST   59 STREET",10022,"American"
"7491","HO YIP RESTAURANT","110112","LIBERTY STREET",10006,"Chinese"
"7492","ORENS DAILY ROAST COFFEES & TEAS","1144","Lexington Ave",10075,"Caf̩/Coffee/Tea"
"7493","KYO-YA","94","EAST    7 STREET",10009,"Japanese"
"7494","525 LEX Restaurant/M Club Lounge/illy Caf̩","525","LEXINGTON AVE",10017,"American"
"7495","SHAN DONG DUMPLING","106","MOSCO STREET",10013,"Chinese"
"7496","THE SPANIARD","190","W 4TH ST",10014,"American"
"7497","VBAR SEAPORT","212","FRONT ST",10038,"American"
"7498","INDIAN TANDOOR OVEN","175","EAST   83 STREET",10028,"Indian"
"7499","CHAMP GOURMET","30","BROAD STREET",10004,"American"
"7500","DELL'ANIMA","38","8 AVENUE",10014,"Italian"
"7501","HSBC BANK","452","5 AVENUE",10018,"American"
"7502","BOUCHON BAKERY ROCKEFELLER","1","ROCKEFELLER PLAZA",10020,"American"
"7503","230 FIFTH","230","FIFTH AVENUE",10001,"American"
"7504","JACK'S RESTAURANT & BAR","147","WEST   40 STREET",10018,"American"
"7505","SEA LEVEL CAFE","6","EAST   43 STREET",10017,"American"
"7506","TABOON","773","10TH AVENUE",10019,"Mediterranean"
"7507","STUDIO 54 THEATRE","254","W 54th St",10019,"American"
"7508","FINANCIER PATISSERIE","245","PARK AVENUE",10017,"American"
"7509","DRUNKEN DUMPLING","137","1ST AVE",10003,"Japanese"
"7510","LA CHULA","137","E 116TH ST",10029,"Mexican"
"7511","ISTANBUL GRILL","310","WEST   14 STREET",10014,"Turkish"
"7512","ROBERT","2","COLUMBUS CIRCLE",10019,"American"
"7513","STARBUCKS","943","2 AVENUE",10022,"Caf̩/Coffee/Tea"
"7514","MORINI RISTORANTE","1167","MADISON AVENUE",10028,"Italian"
"7515","CHIPOTLE MEXICAN GRILL","274","MADISON AVENUE",10016,"Mexican"
"7516","SADELLES","463","W BROADWAY",10012,"American"
"7517","WALL 88","104","2ND AVE",10003,"American"
"7518","THE PENN CLUB","30","WEST   44 STREET",10036,"American"
"7519","RAMEN ZUNDO-YA","84","E 10TH ST",10003,"Japanese"
"7520","COOK EATERY","1412","BROADWAY",10018,"American"
"7521","CONDE NAST","1","WORLD TRADE CENTER",10048,"American"
"7522","OMAR'S MEDITERRANEAN CUISINE","154","E 55TH ST",10022,"Mediterranean"
"7523","TORISHIN","362","W 53RD ST",10019,"Japanese"
"7524","UNCLES BOONS","7","SPRING STREET",10012,"Thai"
"7525","SUBWAY","455","EAST  116 STREET",10029,"Sandwiches"
"7526",NA,"695","10TH AVE",10036,"Other"
"7527","ONE MILE HOUSE","1012","DELANCY STREET",10002,"American"
"7528","FEI MA","79","AVENUE A",10009,"Chinese"
"7529","TAVERN 62","135","E 62ND ST",10065,"American"
"7530","PESCE PASTA TRATT","625","COLUMBUS AVE",10024,"Italian"
"7531","NEW AMSTERDAM THEATER","214","W 42ND ST",10036,"American"
"7532","STARBUCKS COFFEE","10","WAVERLY PL",10003,"Caf̩/Coffee/Tea"
"7533","CHEZ JOSEPHINE","414","WEST   42 STREET",10036,"French"
"7534","A SALT & BATTERY","112","GREENWICH AVENUE",10011,"Seafood"
"7535","CHOPPED PARSLEY","500","W 146TH ST",10031,"Japanese"
"7536","SALAD BOX USA","44","PARK PL",10007,"Salads"
"7537","BLU CAFE","120","RIVERSIDE BLVD",10069,"Caf̩/Coffee/Tea"
"7538","CREDIT SUISSE/SMALL CHANGE CAFE","1","MADISON AVENUE",10010,"American"
"7539","NYU GCASL KITCHEN","238","THOMPSON STREET",10012,"American"
"7540","VIDA VERDE","248","W 55TH ST",10019,"Mexican"
"7541","STARBUCKS","233","BROADWAY",10007,"Caf̩/Coffee/Tea"
"7542","STARBUCKS","475","W 57TH ST",10019,"Caf̩/Coffee/Tea"
"7543","DARBAR GRILL","157","EAST   55 STREET",10022,"Indian"
"7544",NA,"4181","BROADWAY",10033,"Other"
"7545","ARCHDIOCESES OF NY","1011","1ST AVE",10022,"American"
"7546","FRIENDLY GOURMET PIZZA","59","NASSAU STREET",10038,"Pizza/Italian"
"7547","SAFE HORIZON","209","WEST 125 STREET",10027,"American"
"7548","SUBCULTURE ARTS UNDERGROUND","45","BLEECKER ST",10012,"American"
"7549","TIA POL","205","10 AVENUE",10011,"Spanish"
"7550","ROYAL PIZZA","592","3 AVENUE",10016,"Pizza"
"7551","KARAOKE BOHO","152","ORCHARD ST",10002,"Other"
"7552","THE FLOWER SHOP","107","ELDRIDGE ST",10002,"American"
"7553","LITTLE ITALY PIZZA","185","WEST   32 STREET",10001,"Pizza/Italian"
"7554","CHOCNYC BAKERY","4996","BROADWAY",10034,"Bakery"
"7555","LA SIRENE UWS","416","AMSTERDAM AVE",10024,"French"
"7556","AL VAPORETTO","168","E 81ST ST",10028,"Italian"
"7557","GANSEVOORT PARK ROOFTOP","420","PARK AVE S",10016,"American"
"7558","V BAR","132","1 AVENUE",10009,"Italian"
"7559","GREEN KITCHEN DINER","1475","1 AVENUE",10075,"American"
"7560","THE COFFEE INN","1316","1 AVENUE",10021,"Caf̩/Coffee/Tea"
"7561","SUBWAY","301","CATHEDRAL PKWY",10026,"Sandwiches"
"7562","TOWN TENNIS MEMBERS CLUB","430","E 56TH ST",10022,"American"
"7563","CHICKEN/CELEBRITY CHEF, DELI CONCESSION","4","PENN PLAZA",10121,"American"
"7564","PRINCE ST PIZZA","27","PRINCE STREET",10012,"Pizza"
