"","DBA","BUILDING","STREET","ZIPCODE","CUISINE.DESCRIPTION"
"2433","SARABETH'S","40","CENTRAL PARK SOUTH",10019,"American"
"2434","VACCA GRILL & LOUNGE","420","WEST 203RD ST",10034,"American"
"2435","PORTENO","299","10 AVENUE",10001,"Spanish"
"2436","TRATTORIA ZERO OTTO NOVE II","15","WEST   21 STREET",10010,"Italian"
"2437","GRAND HYATT NEW YORK HOTEL","0","@ GRAND CENTRAL",10017,"American"
"2438","SICHUAN HOT POT CUISINE","34","PELL ST",10013,"Chinese"
"2439","KORI TRIBECA","253","CHURCH ST",10013,"Korean"
"2440","KIRSH BAKERY AND KITCHEN","551","AMSTERDAM AVE",10024,"American"
"2441","DUNKIN' DONUTS","105","W 125TH ST",10027,"Donuts"
"2442","DUNKIN DONUTS","155","W 35TH ST",10001,"Donuts"
"2443","LORELEY RESTAURANT","7","RIVINGTON STREET",10002,"German"
"2444","EL LUCHADOR","87","SOUTH ST",10038,"Spanish"
"2445","EVOLVE","221","EAST 58 STREET",10022,"American"
"2446","RELIABLE FOOD","59","EAST   54 STREET",10022,"American"
"2447","SCHNITZEL EXPRESS","120","W 39TH ST",10018,"Jewish/Kosher"
"2448","BEER TABLE COFFEE TABLE","729","3RD AVE",10017,"American"
"2449","PICK AND EAT 2","4932","BROADWAY",10034,"American"
"2450","BEER AUTHORITY","300","WEST   40 STREET",10018,"American"
"2451","DIG INN SEASONAL MARKET","1178","BROADWAY",10001,"American"
"2452","THE FLYING PUCK","364","7 AVENUE",10001,"American"
"2453","DOC HOLIDAYS","141","AVENUE A",10009,"American"
"2454","APERITIVO PIZZA BAR","780","3 AVENUE",10017,"Pizza"
"2455","MEZZE CAFE","210","E 41ST ST",10017,"American"
"2456","HAN DYNASTY","90","3RD AVE",10003,"Chinese"
"2457","OPAI THAI","722","AMSTERDAM AVENUE",10025,"Thai"
"2458","DUNKIN DONUTS","1433","2ND AVE",10021,"Caf̩/Coffee/Tea"
"2459","HOP SHING RESTAURANT","9","CHATHAM SQUARE",10038,"Chinese"
"2460","35 DUET","5355","WEST   35 STREET",10001,"Japanese"
"2461","GENUINE SUPERETTE","191","GRAND ST",10013,"American"
"2462","LE SOUK","510","LAGUARDIA PLACE",10012,"Moroccan"
"2463","MADISON RESTAURANT","965","1 AVENUE",10022,"American"
"2464","MANGANARO'S HERO BOY","494","9TH AVE",10018,"American"
"2465","PIG AND KHAO","68","CLINTON STREET",10002,"Thai"
"2466","THE LONG ROOM","120","WEST   44 STREET",10036,"Irish"
"2467","PANNA II GARDEN INDIAN RESTAURANT","93","1ST AVE",10003,"Indian"
"2468","NEW WONG RESTAURANT","103","EAST BROADWAY",10002,"Chinese"
"2469","PERSHING SQUARE CAFE","90","EAST   42 STREET",10017,"American"
"2470","CAFE JAX","318","E 84TH ST",10028,"Caf̩/Coffee/Tea"
"2471","PRINTERS ALLEY","215","W 40TH ST",10018,"American"
"2472","EL MAGUEY Y LA TUNA","321","EAST HOUSTON STREET",10002,"Mexican"
"2473","VOL DE NUIT","148","WEST    4 STREET",10012,"French"
"2474","CAFE ZAIYA","18","EAST   41 STREET",10017,"Japanese"
"2475","16 HANDLES","153","2 AVENUE",10003,"Ice Cream, Gelato, Yogurt, Ices"
"2476","LE GRAINNE CAFE","183","9 AVENUE",10011,"French"
"2477","BETWEEN THE BREAD","145","WEST   55 STREET",10019,"American"
"2478","CAFE BONJOUR DELI & PIZZA","18","WEST 38 STREET",10018,"American"
"2479","NEW YORK UNIVERSITY - LAW SCHOOL","110","WEST THIRD STREET",10012,"American"
"2480","BAR 9","807","9TH AVE",10019,"American"
"2481","DESMOND'S TAVERN","433","PARK AVENUE SOUTH",10016,"American"
"2482","THE MEAN FIDDLER","266","WEST   47 STREET",10036,"American"
"2483","HOT KITCHEN","251","E 53RD ST",10022,"Chinese"
"2484","CARA MIA","654","9TH AVE",10036,"Italian"
"2485","Nomura cafeteria( 25 th floor)","309","W 49 ST",10019,"American"
"2486","SOCARRAT (PAELLA BAR AND WINE BAR)","259","WEST   19 STREET",10011,"Spanish"
"2487","BUENOS AIRES","513","EAST    6 STREET",10009,"Spanish"
"2488","GLAZE","60","W 56TH ST",10019,"Asian"
"2489","CHIPOTLE MEXICAN GRILL","234","5TH AVE",10001,"Mexican"
"2490","SUSHI SEKI","208","W 23RD ST",10011,"Japanese"
"2491","THAI GRILL SUSHI BAR","137","EAST   45 STREET",10017,"Thai"
"2492","LYCEUM THEATRE","149","WEST   45 STREET",10036,"American"
"2493","GOTTINO","52","GREENWICH AVENUE",10011,"Italian"
"2494","EVERGREEN ON 38ST","10","E 38TH ST",10016,"Chinese"
"2495","FRESH & CO","729","BROADWAY",10003,"Sandwiches/Salads/Mixed Buffet"
"2496","EMMETTS","50","MACDOUGAL ST",10012,"American"
"2497","RITZ DINER","1133","1 AVENUE",10065,"American"
"2498","The Meatball Shop","447","AMSTERDAM AVE",10024,"American"
"2499","KISS MY SLICE","274","W 40TH ST",10018,"Pizza"
"2500","BLAKE & TODD","52","VANDERBILT AVENUE",10017,"American"
"2501","KMR","575","MADISON AVE FL 1ST",10022,"American"
"2502","LE PAIN QUOTIDIEN","708","3 AVENUE",10017,"French"
"2503","WHOLESOME GARDEN PIZZA","3529","BROADWAY",10031,"Pizza"
"2504","THE CUTTING ROOM","44","EAST   32 STREET",10016,"American"
"2505","MANNY RESTAURANT AND LOUNGE","3668","BROADWAY",10031,"Spanish"
"2506","MIDDLE EATS","171","W 23RD ST",10011,"Middle Eastern"
"2507","MURRAY'S BAGELS","242","8 AVENUE",10011,"Bagels/Pretzels"
"2508","STARBUCKS","301","WEST  145 STREET",10039,"Caf̩/Coffee/Tea"
"2509","LIMON JUNGLE","803","9 AVENUE",10019,"Mexican"
"2510","TRE OTTO","1410","MADISON AVE",10029,"Italian"
"2511","REGIONAL","2607","BROADWAY",10025,"Italian"
"2512","UP THAI","1411","2ND AVE",10021,"Thai"
"2513","BUTTERCUP BAKE SHOP","167","MADISON AVE",10016,"Bakery"
"2514","DAK BAKERY","90","BOWERY",10013,"Bakery"
"2515","F & M 99 CENTS PIZZA","153","AVENUE C",10009,"Pizza"
"2516","DOS TOROS TAQUERIA","636","LEXINGTON AVE",10022,"Mexican"
"2517","BOCCA","39","EAST   19 STREET",10003,"Italian"
"2518","BETTOLONA","3143","BROADWAY",10027,"Italian"
"2519","BONJOUR CREPES & WINE","1585","2 AVENUE",10028,"Sandwiches"
"2520","THE DELANCEY","168","DELANCEY STREET",10002,"American"
"2521","ING CAFE","1133","AVENUE OF THE AMERICAS",10036,"American"
"2522","OXFORD CAFE","109","EAST   59 STREET",10022,"Delicatessen"
"2523","CHINELOS II DELI-GROCERY RESTAURANT","530","W 136TH ST",10031,"Mexican"
"2524","SUSHIANN","38","EAST   51 STREET",10022,"Japanese"
"2525","PRET A MANGER","62","WEST   45 STREET",10036,"American"
"2526","MIYABI SUSHI & ASIAN CUISINE","118","W 3RD ST",10012,"Japanese"
"2527","THAI WOK","1406","MADISON AVE",10029,"Thai"
"2528","SLAUGHTERED LAMB PUB","182","W 4TH ST",10014,"American"
"2529","HOURGLASS TAVERN","373","WEST   46 STREET",10036,"American"
"2530","DIG INN","80","PINE ST",10005,"American"
"2531","EVERYDAY GOURMET DELI","369","LEXINGTON AVENUE",10017,"American"
"2532","ROUTE 66 AMERICAN BBQ","79","PEARL ST",10004,"American"
"2533","FRESCO ON THE GO","40","EAST   52 STREET",10022,"American"
"2534","DUNKIN DONUTS/BASKIN ROBINS","147","E 116TH ST",10029,"Donuts"
"2535","BALON","245","EAST   81 STREET",10028,"Bottled beverages, including water, sodas, juices, etc."
"2536","GIACOMO FINE FOODS","269","WEST   72 STREET",10069,"American"
"2537","BOMBAY'S","60","PEARL STREET",10004,"Indian"
"2538","SIX PANS/ CREAMLINE","180","7TH AVE",10011,"American"
"2539","JAIYA THAI ORIENTAL RESTAURANT","396","THIRD AVENUE",10016,"Thai"
"2540","MEDITERRANEO","1260","2 AVENUE",10065,"Italian"
"2541","SUNFLOWER DINER","359","3 AVENUE",10016,"American"
"2542","CAFE OLYMPIA","833","2nd Avenue",10017,"American"
"2543","TENZAN CUISINE","285","COLUMBUS AVENUE",10023,"Japanese"
"2544","PIZZA 23","268","W 23RD ST",10011,"Pizza"
"2545","NEW CRISPY BAMBOO","2526","FREDERICK DOUGLAS BOULEVARD",10030,"Chinese"
"2546","OGAWA CAFE","36","E 4TH ST",10003,"Japanese"
"2547","URBAN VEGAN KITCHEN","4143","CARMINE STREET",10014,"Vegetarian"
"2548","GRILL 21","346","E 21ST ST",10010,"Filipino"
"2549","CURRY YA","214","EAST   10 STREET",10003,"Japanese"
"2550","CAFE ON 5TH/STERLING AFFAIR","1216","5 AVENUE",10029,"American"
"2551","RE: SOURCES","1675","BROADWAY",10019,"American"
"2552","HEALTHIER CHOICES","2107","1 AVENUE",10029,"Caribbean"
"2553","BULL MCCABES","29","ST MARKS PLACE",10003,"Irish"
"2554","NISHIDA SHO-TEN","302","E 49TH ST",10017,"Japanese"
"2555","CROWN DELI","1674","BROADWAY",10019,"American"
"2556","CHARLIE'S PIZZA","1501","ST NICHOLAS AVENUE",10033,"Pizza"
"2557","FEAST ON US","645","HUDSON ST",10014,"American"
"2558","SUSHI JUN","875","3 AVENUE",10022,"Japanese"
"2559","LEGEND BAR & RESTAURANT","88","7 AVENUE",10011,"Chinese"
"2560","VIC'S","31","GREAT JONES ST",10012,"American"
"2561","ZUCKER'S BAGELS AND SMOKED FISH","146","CHAMBERS STREET",10007,"Bagels/Pretzels"
"2562","LA NOSTRA PIZZERIA","2146","2 AVENUE",10029,"Pizza"
"2563","HAMA","11","W 51ST ST",10019,"Japanese"
"2564","SCALINI FEDELI","165","DUANE STREET",10013,"Italian"
"2565","THE PARLOUR","250","WEST   86 STREET",10024,"American"
"2566","WOOLWORTH TOWER KITCHEN/THE WOOLY PUBLIC","233","BROADWAY",10279,"American"
"2567","FOOD IN MOTION","214","SULLIVAN STREET",10012,"American"
"2568","JUICE GENERATION CAFE GROUP","69","PRINCE STREET",10012,"American"
"2569","NOODIES THAI","830","9TH AVE",10019,"Thai"
"2570","THALASSA","179","FRANKLIN STREET",10013,"Greek"
"2571","CANTEEN 82","467","COLUMBUS AVENUE",10024,"Chinese"
"2572","GAZALA'S PLACE","709","9 AVENUE",10019,"Mediterranean"
"2573","PERPETUUM CAFE","200","CHURCH ST",10013,"Caf̩/Coffee/Tea"
"2574","SARABETH'S","381","PARK AVENUE SOUTH",10016,"American"
"2575","HAVEN ROOFTOP / SANCTUARY HOTEL","130132","W 47TH ST",10036,"American"
"2576","LOLA LOLA RESTAURANT & BAR","1306","SAINT NICHOLAS AVE",10033,"Spanish"
"2577","TACO BELL","1503","LEXINGTON AVE",10029,"Tex-Mex"
"2578","GINA LA FORNARINA","1016","LEXINGTON AVE",10021,"Pizza/Italian"
"2579","DAVIDS TEA","688","6 AVENUE",10010,"Caf̩/Coffee/Tea"
"2580","KITARO","510","AMSTERDAM AVENUE",10024,"Chinese/Japanese"
"2581","VIA QUADRONNO","1228","MADISON AVE",10128,"Italian"
"2582","SUSHI SEKI","365","W 46TH ST",10036,"Japanese"
"2583","YIA YIA","404","E 69TH ST",10021,"Greek"
"2584","TISANE PHARMACY","340","EAST   86 STREET",10028,"Caf̩/Coffee/Tea"
"2585","ITSU","530","7TH AVE",10018,"Other"
"2586","DUNKIN' DONUTS, BASKIN ROBBINS","51","EAST   34 STREET",10016,"Donuts"
"2587","LUXOR LOUNGE","118","MACDOUGAL STREET",10012,"American"
"2588","FAT BUDDHA","212","AVENUE A",10009,"Asian"
"2589","W K RESTAURANT","69","BAYARD ST",10013,"Chinese"
"2590","NEW SUNNY EAST 88 RESTAURANT","1680","1 AVENUE",10128,"Chinese"
"2591","COLBEH","32","WEST 39 STREET",10018,"Jewish/Kosher"
"2592","STAGHORN STEAKHOUSE","315","WEST   36 STREET",10018,"Steak"
"2593","TANG PAVILION","65","WEST   55 STREET",10019,"Chinese"
"2594","V-NAM CAFE","18-20","1 AVENUE",10009,"Vietnamese/Cambodian/Malaysia"
"2595","STAYBRIDGE SUITES","340","WEST 40 STREET",10018,"American"
"2596","CAFFE NOI ESPRESSO BAR","1465","2 AVE",10075,"Caf̩/Coffee/Tea"
"2597","SAZON Y MAS","4193","BROADWAY",10033,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"2598","SALA ONE NINE","35","WEST   19 STREET",10011,"Spanish"
"2599","SOFIA'S LITTLE ITALY","143","MULBERRY STREET",10013,"Italian"
"2600","BAGELS AND MORE","1585","3RD AVE",10128,"Bagels/Pretzels"
"2601","PEPE ROSSO TO GO","149","SULLIVAN STREET",10012,"Italian"
"2602","HILLSTONE'S","153","EAST   53 STREET",10022,"American"
"2603","VAPIANO","113","UNIVERSITY PLACE",10003,"Italian"
"2604","12 CHAIRS","56","MACDOUGAL STREET",10012,"American"
"2605","MAMA SUSHI","237","DYCKMAN STREET",10034,"Japanese"
"2606","UNION FARE","43227","E 17TH ST",10003,"American"
"2607","LUCKY STRIKE","624660","WEST   42 STREET",10036,"American"
"2608","BENARES","45","MURRAY STREET",10007,"Indian"
"2609","RANDALLS ISLAND GOLF CENTER","1","RANDALLS ISLAND",10035,"American"
"2610","SUSHI SUKI","1577","YORK AVE",10028,"Japanese"
"2611","GEORGIA&ALIOU'S TINY TREATS CAFE","616","AMSTERDAM AVE",10024,"Bakery"
"2612","MIZU","29","EAST   20 STREET",10003,"Japanese"
"2613","LA MINITA RESTAURANT","3855","10 AVENUE",10034,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"2614","TIME WARNER(CAFETERIA)","1","TIME WARNER CENTER",10019,"American"
"2615","SAN LOCO","111","STANTON STREET",10002,"Mexican"
"2616","BIN 71","237","COLUMBUS AVENUE",10023,"French"
"2617","HILLTOP PERK CAFE","83","HAVEN AVE",10032,"American"
"2618","NINJA RESTAURANT","25","HUDSON STREET",10013,"Japanese"
"2619","LENWICH","16","W 23RD ST",10010,"Sandwiches/Salads/Mixed Buffet"
"2620","SPRINGBONE KITCHEN","90","W 3RD ST",10012,"American"
"2621","FLUTE","205","WEST   54 STREET",10019,"American"
"2622","PINKBERRY","596","9TH AVE",10036,"Ice Cream, Gelato, Yogurt, Ices"
"2623","LUNA PIENA","243","EAST   53 STREET",10022,"Italian"
"2624","BURGERFI","240","EAST   82 STREET",10028,"Hamburgers"
"2625","CORNER CAFE","2518","BROADWAY",10025,"Caf̩/Coffee/Tea"
"2626","MESON SEVILLA RESTAURANT","344","WEST   46 STREET",10036,"Spanish"
"2627","MCDONALD'S","52","FULTON STREET",10038,"American"
"2628","LE MARAIS","150","WEST   46 STREET",10036,"Jewish/Kosher"
"2629","UPLAND","345","PARK AVE S",10010,"American"
"2630","PIG & WHISTLE ON 3RD","922","3 AVENUE",10022,"American"
"2631","CROWNE PLAZA-TIMES SQUARE (BANQUET KITCHEN)","1605","BROADWAY",10019,"American"
"2632","HOT POT CENTRAL","188","2ND AVE",10003,"Asian"
"2633","TASTE OF TOKYO","6062","BEAVER STREET",10004,"Japanese"
"2634","WHISKEY TRADER","71","WEST   55 STREET",10019,"American"
"2635","PARK HYATT NEW YORK","153","W 57TH ST",10019,"American"
"2636","MUSCLE MAKER GRILL","1413","2ND AVE",10021,"American"
"2637","THE WAYLON","736","10TH AVE",10019,"Tex-Mex"
"2638","PRET A MANGER","1071","AVENUE OF THE AMERICAS",10018,"Sandwiches/Salads/Mixed Buffet"
"2639","GYU-KAKU","34","COOPER SQUARE",10003,"Japanese"
"2640","THE BROOME","431","BROOME ST",10013,"Caf̩/Coffee/Tea"
"2641","PYE BOAT NOODLE","1711","2 AVENUE",10128,"Thai"
"2642","SUSHI OF GARI 46","347","WEST   46 STREET",10036,"Japanese"
"2643","ALFIE'S","800","9 AVENUE",10019,"Irish"
"2644","A PLUS THAI PLACE","1007","2ND AVE",10022,"Thai"
"2645","KOBE SUSHI","1472","YORK AVE",10075,"Japanese"
"2646","GIGI CAFE","64","EAST   34 STREET",10016,"American"
"2647","SUNFLOWER CAFE","676","AMSTERDAM AVE",10025,"American"
"2648","TOAST","3157","BROADWAY",10027,"American"
"2649","PAPAYA KING","3","ST MARKS PLACE",10003,"Hotdogs"
"2650","LUCKY SEVEN TAPAS BAR","1455","ST NICHOLAS AVENUE",10033,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"2651","BLACK BURGER/ POKE BOWL/ 5 BOROUGHS PIZZA","386","CANAL ST",10013,"American"
"2652","DOMINO'S PIZZA","1396","1ST AVE",10021,"Pizza"
"2653","PARIS BAGUETTE","591","LEXINGTON AVE",10022,"Bakery"
"2654","MARGON RESTAURANT","136","WEST   46 STREET",10036,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"2655","KARMA","51","1 AVENUE",10003,"American"
"2656","HAVELI INDIAN RESTAURANT","100","SECOND AVENUE",10003,"Indian"
"2657","ALLIANZ CAFETERIA","1633","BROADWAY",10019,"American"
"2658","JUPIOCA","39","JOHN STREET",10038,"Juice, Smoothies, Fruit Salads"
"2659","MEDITERRANEO PIZZA","1593","SAINT NICHOLAS AVE",10040,"Pizza"
"2660","SIMPLY BAKERY","70","BAYARD STREET",10013,"Bakery"
"2661","KAFFE 1668","275","GREENWICH STREET",10007,"Caf̩/Coffee/Tea"
"2662","STARBUCKS","338","COLUMBUS AVENUE",10023,"Caf̩/Coffee/Tea"
"2663","THE CIBO","22","W 38TH ST",10018,"Delicatessen"
"2664","LA FIESTA RESTAURANT","3789","BROADWAY",10032,"Mexican"
"2665","MICHELLE RESTAURANT","125","AVENUE D",10009,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"2666","Manon Cafe / Leonidas","120","BROADWAY",10002,"Caf̩/Coffee/Tea"
"2667","SEAN'S BAR & KITCHEN","42","W 48TH ST",10036,"American"
"2668","COSI","461","PARK AVENUE SOUTH",10016,"American"
"2669","STARBUCKS","151","WEST   34 STREET",10001,"Caf̩/Coffee/Tea"
"2670","HELLCAT ANNIE'S TAP ROOM","637","10 AVENUE",10036,"American"
"2671","CUBBYHOLE","281","WEST   12 STREET",10014,"American"
"2672","MEL'S BURGER BAR","2850","BROADWAY",10025,"Hamburgers"
"2673","CHINESE FAST WOK","230","7 AVENUE",10011,"Chinese"
"2674","LITTLE COLLINS","667","LEXINGTON AVENUE",10022,"Australian"
"2675","MARTA","29","E 29TH ST",10016,"Italian"
"2676","HALE & HEARTY SOUP","466","LEXINGTON AVENUE",10017,"Soups & Sandwiches"
"2677","GOURMET 45","721","3 AVENUE",10017,"Delicatessen"
"2678","GREAT N.Y. NOODLETOWN","28","BOWERY",10013,"Chinese"
"2679","THE PICNIC BASKET / HOCKEY POKE","805","3RD AVE",10022,"Middle Eastern"
"2680","POTBELLY SANDWICH SHOP","333","PARK AVENUE SOUTH",10010,"Sandwiches/Salads/Mixed Buffet"
"2681","B & Co.","22","PARK PLACE",10007,"Sandwiches/Salads/Mixed Buffet"
"2682","JOE'S SHANGHAI RESTAURANT","9","PELL STREET",10013,"Chinese"
"2683","XI'AN FAMOUS FOODS","81","ST MARKS PLACE",10003,"Chinese"
"2684","TARTINERY","209","MULBERRY STREET",10012,"French"
"2685","FAST EDDIES","667","10 AVENUE",10036,"American"
"2686","ZIO","17","WEST   19 STREET",10011,"Italian"
"2687","HERALD SQUARE MARKET","968","6 AVENUE",10018,"American"
"2688","LOVELY DAY","196","ELIZABETH STREET",10012,"Thai"
"2689","DOWN THE HATCH","175","WEST    4 STREET",10014,"American"
"2690","NYU PEET'S COFFEE","60","WASHINGTON SQ S",10012,"Caf̩/Coffee/Tea"
"2691","OVERLOOK","225","EAST   44 STREET",10017,"American"
"2692","PIL PIL","265","E 78TH ST",10075,"Tapas"
"2693","ALOHA HARLEM","2245","1ST AVE",10029,"Hawaiian"
"2694","Q & N FOOD","107","E 125TH ST",10035,"Delicatessen"
"2695","PROOF COFFEE SHOP","65","NASSAU ST",10038,"Caf̩/Coffee/Tea"
"2696","FARINELLA","267","AMSTERDAM AVE",10023,"Pizza"
"2697","A LA TURKA","1417","2 AVENUE",10021,"Mediterranean"
"2698","SUBWAY","153","3 AVENUE",10003,"Sandwiches"
"2699","LAVO NEW YORK","39","EAST 58TH STREET",10022,"Italian"
"2700","MAGNOLIA BAKERY","200","COLUMBUS AVENUE",10023,"Bakery"
"2701","THE IRISH AMERICAN","17","JOHN STREET",10038,"Irish"
"2702","H.K WONTON GARDEN","79","MULBERRY STREET",10013,"Chinese"
"2703","THE WAYFARER","101","W 57TH ST",10019,"Seafood"
"2704","SHERATON NEW YORK HOTEL & TOWERS","811","7 AVENUE",10019,"American"
"2705","THE CAPITAL GRILLE","120","BROADWAY",10271,"American"
"2706","DUNKIN' DONUTS","818","6TH AVE",10001,"Donuts"
"2707","LAHORE DELICATESSEN","132","CROSBY STREET",10012,"Bangladeshi"
"2708","SPRING & VARICK","246","SPRING ST",10013,"American"
"2709","PEGU CLUB","77","WEST HOUSTON STREET",10012,"American"
"2710","EAST SIDE BILLIARD","163","EAST   86 STREET",10028,"American"
"2711","COOGAN'S","4015","BROADWAY",10032,"American"
"2712","TENDER","130","W 47TH ST",10036,"Steak"
"2713","PAESANO'S","136","MULBERRY STREET",10013,"Italian"
"2714","COSI","60","EAST   56 STREET",10022,"Sandwiches"
"2715","CASA PIZZA","1427","3RD AVE",10028,"Pizza/Italian"
"2716","CAFE CHAMPIGNON","200","7 AVENUE",10011,"French"
"2717","THE PERFECT PINT","203","EAST   45 STREET",10017,"Irish"
"2718","SOBA NOODLE AZUMA","251","W 55TH ST",10019,"Japanese"
"2719","GREGORY'S COFFEE","48","E 33RD ST",10016,"Caf̩/Coffee/Tea"
"2720","OBAO","222","EAST   53 STREET",10022,"Thai"
"2721","BREADS BAKERY","18","EAST   16 STREET",10003,"Bakery"
"2722","SWEETGREEN","1164","BROADWAY",10001,"Salads"
"2723","THE ALCHEMIST'S KITCHEN","21","E 1ST ST",10003,"Vegetarian"
"2724","CHO DANG GOL","55","WEST   35 STREET",10001,"Korean"
"2725","SAIGON SHACK","114","MACDOUGAL STREET",10012,"Vietnamese/Cambodian/Malaysia"
"2726","THE CLIFF","440","W 202ND AVE",10034,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"2727","PITOPIA","369","W 34TH ST",10001,"Jewish/Kosher"
"2728","DOMINO'S","4797","BROADWAY",10034,"Pizza"
"2729","NEW KAM WEI","630","10 AVENUE",10036,"Chinese"
"2730","NICA TRATTORIA","354","EAST   84 STREET",10028,"Italian"
"2731","LE PAIN QUOTIDIEN","60","WEST   65 STREET",10023,"Sandwiches"
"2732","DA RAFFAELE","883","1ST AVE",10022,"Italian"
"2733","INDAY","1133","BROADWAY",10010,"Indian"
"2734","AMERICAN MUSEUM OF NATURAL HISTORY FOOD COURT",NA,"W 79 STREET",10024,"American"
"2735","DIG INN","17","East 17th Street",10003,"American"
"2736","ELEA","217","W 85TH ST",10024,"Other"
"2737","SWEET CHEF SOUTHERN STYLES BAKERY","122","HAMILTON PLACE",10031,"Bakery"
"2738","TWO-BITS RETRO ARCADE","153","ESSEX STREET",10002,"American"
"2739","NO 1 CHINESE RESTAURANT","3853","BROADWAY",10032,"Chinese"
"2740","MIDDLE BRANCH","154","EAST   33 STREET",10016,"American"
"2741","REGENCY WHIST CLUB","15","EAST   67 STREET",10065,"American"
"2742","PRET A MANGER","100","CHURCH STREET",10007,"American"
"2743","RENAISSANCE HOTEL","714","7 AVENUE",10036,"American"
"2744","T.G.I. FRIDAY'S","761","7 AVENUE",10019,"American"
"2745","BAR AMERICAIN","152","WEST   52 STREET",10019,"American"
"2746","MAMAMOO LOCAL ORGANIC KITCHEN","350","W 37TH ST",10018,"Delicatessen"
"2747","RAENU THAI","844","AMSTERDAM AVE",10025,"Thai"
"2748","CHO-KO RESTAURANT","59","1ST AVE",10003,"Japanese"
"2749","FLIK","250","W 55TH ST",10019,"American"
"2750","COTTON CLUB","664","WEST  125 STREET",10027,"American"
"2751","PATSY'S PIZZERIA RESTAURANT","204-206","EAST   60 STREET",10022,"Italian"
"2752","CANCUN MEXICAN RESTAURANT","937","8 AVENUE",10019,"Mexican"
"2753","GO GO CURRY","235","E 53RD ST",10022,"Japanese"
"2754","CIBAR","56","IRVING PLACE",10003,"American"
"2755","LUNG MOON BAKERY","83","MULBERRY STREET",10013,"Bakery"
"2756","HAMPTON CHUTNEY CO","143","GRAND ST",10013,"Indian"
"2757","GENTLEMAN FARMER","40","RIVINGTON STREET",10002,"French"
"2758","MARCHE MADISON","630","1ST AVE",10016,"American"
"2759","STARBUCKS","1","NEW YORK PLZ",10004,"Caf̩/Coffee/Tea"
"2760","YURA & COMPANY ON MADISON","1292","MADISON AVENUE",10128,"American"
"2761","UNCLE JACK'S STEAKHOUSE","440","9 AVENUE",10001,"Steak"
"2762","NEW ASIAN CUISINES","153D","CENTRE ST",10013,"Chinese"
"2763","THE WRITING ROOM","1703","2ND AVE",10128,"American"
"2764","WHITE HORSE TAVERN","25","BRIDGE ST",10004,"American"
"2765","CHARLYS","110","TRINITY PLACE",10006,"American"
"2766","THE MARSHAL","628","10TH AVE",10036,"American"
"2767","THE WAYLAND","700","EAST    9 STREET",10009,"American"
