"","CAMIS","DBA","BORO","BUILDING","STREET","ZIPCODE","PHONE","CUISINE.DESCRIPTION","INSPECTION.DATE","ACTION","VIOLATION.CODE","VIOLATION.DESCRIPTION","CRITICAL.FLAG","SCORE","GRADE","GRADE.DATE","RECORD.DATE","INSPECTION.TYPE"
"27",50017922,"SANTINA","MANHATTAN","820","WASHINGTON ST","10014","2122543000","Armenian",42509,"Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",22,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"28",50001889,"UMAMI BURGER","MANHATTAN","432","AVENUE OF THE AMERICAS","10011","2126778626","Hamburgers",42461,"Violations were cited in the following area(s).","10E","Accurate thermometer not provided in refrigerated or hot holding equipment.","Not Critical",14,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"29",50018785,"MIDO","MANHATTAN","612","AMSTERDAM AVE","10024","2127210566","Asian",42192,"Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility_x001A_s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Critical",28,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"30",50072809,"CHICK'NCONE","MANHATTAN","1000 S","8TH AVE","10019","7202788672","Other",1,NA,NA,NA,"Not Applicable",NA,NA,NA,43138,NA
"31",41298820,"LE PAIN QUOTIDIEN","MANHATTAN","550","HUDSON STREET","10014","2122552275","Sandwiches",42474,"Violations were cited in the following area(s).","22C","Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.","Not Critical",NA,NA,NA,43138,"Administrative Miscellaneous / Initial Inspection"
"32",50047279,"CARBONE","MANHATTAN","331","W 38TH ST","10018","2122902625","Italian",43131,"Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical",25,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"33",50004505,"RED STAR","MANHATTAN","2060","ACP JR BLVD","10027","2128063988","Chinese",42432,"Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",12,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"34",40643138,"PARMA RESTAURANT","MANHATTAN","1404","3 AVENUE","10075","2125353520","Italian",43133,"Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",25,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"35",40579869,"LUCKY DELI","MANHATTAN","12","EAST   37 STREET","10016","2122131370","Delicatessen",42928,"Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",14,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"36",40874688,"BOWERY ELECTRIC","MANHATTAN","327","BOWERY","10003","2122280228","American",42917,"Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",25,"Z",42917,43138,"Cycle Inspection / Re-inspection"
"37",50000433,"JADE GARDEN","MANHATTAN","4028","BROADWAY","10032","2127950556","Chinese",42297,"Violations were cited in the following area(s).","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","Critical",13,"A",42297,43138,"Cycle Inspection / Initial Inspection"
"38",41010772,"TWO DOORS TAVERN","MANHATTAN","1576","3 AVENUE","10128","2128281388","American",42962,"Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",49,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"39",50043752,"2 BROS PIZZA/JUICE SHOP","MANHATTAN","113","E 125TH ST","10035","9175878888","Pizza",42865,"Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",46,"C",42865,43138,"Cycle Inspection / Re-inspection"
"40",50057276,"ROTH BAR","MANHATTAN","548","W 22ND ST","10011","2127903900","American",42865,"Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",5,"A",42865,43138,"Pre-permit (Operational) / Initial Inspection"
"41",41372877,"ZINC","MANHATTAN","82","WEST    3 STREET","10012","2124779462","American",42137,"Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility_x001A_s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Critical",10,"A",42137,43138,"Cycle Inspection / Initial Inspection"
"42",41683431,"THE CONFESSION BOX","MANHATTAN","304","EAST   78 STREET","10075","2127379520","American",42103,"Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",19,"B",42103,43138,"Cycle Inspection / Re-inspection"
"43",41223754,"PANCA","MANHATTAN","92","7 AVENUE SOUTH","10014","2124883900","Peruvian",42011,"Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility_x001A_s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Critical",12,"A",42011,43138,"Cycle Inspection / Re-inspection"
"44",40826684,"WU LIANG YE RESTAURANT","MANHATTAN","36","WEST   48 STREET","10036","2123982308","Chinese",42531,"Violations were cited in the following area(s).","06F","Wiping cloths soiled or not stored in sanitizing solution.","Critical",13,"A",42531,43138,"Cycle Inspection / Re-inspection"
"45",41171181,"169 BAR","MANHATTAN","169","EAST BROADWAY","10002","9175772077","American",41967,"Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",22,"B",41967,43138,"Cycle Inspection / Re-inspection"
"46",50014636,"BURGER HEAVEN","MANHATTAN","9","E 53RD ST","10022","2127520340","American",42496,"Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",24,"B",42496,43138,"Cycle Inspection / Re-inspection"
"47",40745126,"PINOCCHIO RISTORANTE","MANHATTAN","1748","1 AVENUE","10128","2128285810","Italian",42153,"Violations were cited in the following area(s).","18D","Failure to comply with an Order of the Board of Health, Commissioner, or Department.","Not Critical",NA,NA,NA,43138,"Administrative Miscellaneous / Compliance Inspection"
"48",50003042,"BENGAL TIGER INDIAN FOOD","MANHATTAN","58","WEST 56TH STREET","10019","2122652703","Indian",43054,"Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",7,"A",43054,43138,"Cycle Inspection / Initial Inspection"
"49",40830563,"HEARTLAND BREWERY","MANHATTAN","127","WEST   43 STREET","10036","6463660235","American",42795,"Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",12,"A",42795,43138,"Cycle Inspection / Re-inspection"
"50",40392496,"TARTINE","MANHATTAN","253","WEST   11 STREET","10014","2122292611","English",42242,"Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility_x001A_s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Critical",12,"A",42242,43138,"Cycle Inspection / Re-inspection"
"51",41631630,"ROCKWOOD MUSIC HALL (STAGE ZERO)","MANHATTAN","196","ALLEN STREET","10002","2124774155","American",42124,"Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",8,"A",42124,43138,"Cycle Inspection / Initial Inspection"
"52",41523630,"LITTLE ITALY PIZZA III","MANHATTAN","122","UNIVERSITY PLACE","10003","2129894225","Pizza/Italian",42501,"Violations were cited in the following area(s).","04A","Food Protection Certificate not held by supervisor of food operations.","Critical",12,"A",42501,43138,"Cycle Inspection / Re-inspection"
"53",50051997,"ROUGE TOMATE","MANHATTAN","126","W 18TH ST","10011","6463953978","French",43067,"Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",34,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"54",41270009,"FORTY CARROTS","MANHATTAN","1000","3 AVENUE","10022","2127053085","American",43117,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",13,"A",43117,43138,"Cycle Inspection / Initial Inspection"
"55",50001516,"IL SALUMAIO","MANHATTAN","1731","2ND AVE","10128","6468526876","Italian",42577,"Violations were cited in the following area(s).","04M","Live roaches present in facility's food and/or non-food areas.","Critical",23,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"56",50040764,"PERK KAFE","MANHATTAN","1867","2ND AVE","10029","6466784272","CafÃ©/Coffee/Tea",42354,"Violations were cited in the following area(s).","04A","Food Protection Certificate not held by supervisor of food operations.","Critical",32,NA,NA,43138,"Pre-permit (Operational) / Initial Inspection"
"57",41320866,"WO HOP 17","MANHATTAN","17","MOTT STREET","10013","2122672536","Chinese",42258,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",21,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"58",50004346,"KFC","MANHATTAN","2755","BROADWAY","10025","2126659430","American",42968,"Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",12,"A",42968,43138,"Cycle Inspection / Re-inspection"
"59",41668282,"ROSEMARY'S","MANHATTAN","1820","GREENWICH AVENUE","10011","2126471818","Italian",42781,"Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical",10,"A",42781,43138,"Cycle Inspection / Initial Inspection"
"60",50068947,"PAKU PAKUS","MANHATTAN","1393B","2ND AVE","10021","7186856504","Japanese",42997,"Violations were cited in the following area(s).","15F",NA,"Not Applicable",NA,NA,NA,43138,"Smoke-Free Air Act / Initial Inspection"
"61",40368271,"CHERRY TAVERN","MANHATTAN","441","EAST    6 STREET","10009","2127771448","American",42143,"Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",19,"B",42143,43138,"Cycle Inspection / Re-inspection"
"62",41138983,"HOTEL PIERRE-MAIN KITCHEN","MANHATTAN","2","EAST   61 STREET","10065","2128388000","American",42212,"Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",8,"A",42212,43138,"Cycle Inspection / Re-inspection"
"63",41710775,"GILA'S NOSH","MANHATTAN","221","EAST   23 STREET","10010","2122133334","Mediterranean",42683,"Violations were cited in the following area(s).","10A","Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.","Not Critical",9,"A",42683,43138,"Cycle Inspection / Re-inspection"
"64",41286452,"CAFE KATJA","MANHATTAN","79","ORCHARD STREET","10002","2122199545","Eastern European",43020,"Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",13,"A",43020,43138,"Cycle Inspection / Re-inspection"
"65",50000976,"MADE IN MEXICO","MANHATTAN","3950","10TH AVE","10034","6467264849","Mexican",42649,"Violations were cited in the following area(s).","20F","Current letter grade card not posted.","Not Critical",NA,NA,NA,43138,"Administrative Miscellaneous / Initial Inspection"
"66",41454940,"MULBERRY PROJECT","MANHATTAN","149","MULBERRY STREET","10013","6464484536","American",43035,"Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility_x001A_s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Critical",13,"A",43035,43138,"Cycle Inspection / Re-inspection"
"67",50001460,"CAFE B'WAY 46","MANHATTAN","146","W 46TH ST","10036","2129381333","American",42835,"Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",26,"B",42835,43138,"Cycle Inspection / Re-inspection"
"68",40883586,"EUREST DINING SERVICE (American Express)","MANHATTAN","200","VESEY STREET","10285","2126404416","American",41822,"Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical",81,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"69",40633087,"BABBO RISTORANTE E ENOTECA","MANHATTAN","110","WAVERLY PLACE","10011","2127770303","Italian",42691,"Violations were cited in the following area(s).","15L","Smoke free workplace smoking policy inadequate, not posted, not provided to employees.","Not Critical",NA,NA,NA,43138,"Smoke-Free Air Act / Initial Inspection"
"70",50032704,"BY CHLOE","MANHATTAN","185","BLEECKER ST","10012","2122908000","Vegetarian",42534,"Violations were cited in the following area(s).","20F","Current letter grade card not posted.","Not Critical",NA,NA,NA,43138,"Administrative Miscellaneous / Initial Inspection"
"71",50043337,"MALA PROJECT","MANHATTAN","122","1ST AVE","10009","2123538880","Chinese",42635,"Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",10,"A",42635,43138,"Cycle Inspection / Initial Inspection"
"72",40391272,"EL LINA RESTAURANT","MANHATTAN","500","WEST  207 STREET","10034","2125675031","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",42543,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",15,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"73",41149372,"MAD HATTER SALOON","MANHATTAN","360","3 AVENUE","10016","2126962122","American",42937,"Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",23,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"74",50015041,"WHISPERS BAR AND RESTAURANT","MANHATTAN","210","W 94TH ST","10025","8453132814","American",41996,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",13,"A",41996,43138,"Pre-permit (Operational) / Re-inspection"
"75",40378874,"TERRA BLUES","MANHATTAN","149","BLEEKER STREET","10012","2127777776","American",42208,"Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",19,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"76",41264529,"DELIGHT 28 RESTAURANT","MANHATTAN","2830","PELL STREET","10013","2122858686","Chinese",42531,"Violations were cited in the following area(s).","22F",NA,"Not Applicable",19,"B",42531,43138,"Cycle Inspection / Re-inspection"
"77",40718574,"WINDFALL","MANHATTAN","23","WEST   39 STREET","10018","2128694606","American",42396,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",13,"A",42396,43138,"Cycle Inspection / Initial Inspection"
"78",40392430,"IPANEMA BAR","MANHATTAN","252","WEST   14 STREET","10011","2128070150","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",42989,"Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical",45,NA,NA,43138,"Cycle Inspection / Re-inspection"
"79",50018468,"SAVOUR SICHUAN","MANHATTAN","108","W 39TH ST","10018","2122217237","Chinese",42625,"Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",36,"C",42625,43138,"Cycle Inspection / Re-inspection"
"80",40811405,"AU BON PAIN","MANHATTAN","1251","6 AVENUE","10020","2129215908","American",42608,"Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",4,"A",42608,43138,"Cycle Inspection / Re-inspection"
"81",40387339,"UNO PIZZERIA AND GRILL","MANHATTAN","432","COLUMBUS AVENUE","10024","2125954700","Pizza/Italian",42198,"Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",14,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"82",50044763,"SUBWAY","MANHATTAN","281","SAINT NICHOLAS AVE","10027","9173785700","Sandwiches",42781,"Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",10,"A",42781,43138,"Cycle Inspection / Initial Inspection"
"83",50068093,"BIRCH COFFEE","MANHATTAN","171","E 88TH ST","10128","2126861444","CafÃ©/Coffee/Tea",43024,"Violations were cited in the following area(s).","10I","Single service item reused, improperly stored, dispensed; not used when required.","Not Critical",22,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"84",40545130,"SPEEDY'S DELI","MANHATTAN","1271","BROADWAY","10001","2126838997","American",42940,"Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",17,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"85",40655028,"SNACKS-N-WHEELS/GREYHOUND FOOD SERVICE","MANHATTAN","625","8 AVENUE","10018","2125642814","American",42503,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",17,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"86",40903063,"O-MAI","MANHATTAN","158","9 AVENUE","10011","2126330550","Vietnamese/Cambodian/Malaysia",42213,"Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",12,"A",42213,43138,"Cycle Inspection / Re-inspection"
"87",50002265,"SUSHI NAKAZAWA","MANHATTAN","23","COMMERCE STREET","10014","2129242212","Japanese",42781,"Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical",11,"A",42781,43138,"Cycle Inspection / Re-inspection"
"88",41466148,"WHISKEY SOCIAL","MANHATTAN","35","WEST    8 STREET","10011","6467264476","American",41653,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",20,NA,NA,43138,"Cycle Inspection / Initial Inspection"
