"","Station.Name","Station.Latitude","Station.Longitude","zipcode"
"166","Court St",40.6941,-73.991777,11201
"167","Myrtle-Willoughby Avs",40.694568,-73.949046,11206
"168","104th St-102nd St",40.695178,-73.84433,11418
"169","Halsey St",40.695602,-73.904084,11385
"170","Myrtle Av",40.697207,-73.935657,11206
"171","111th St",40.697418,-73.836345,11418
"172","Clark St",40.697466,-73.993086,11201
"173","Central Av",40.697857,-73.927397,11221
"174","Knickerbocker Av",40.698664,-73.919711,11237
"175","High St",40.699337,-73.990531,11201
"176","York St",40.699743,-73.986885,11201
"177","Myrtle Av",40.699814,-73.911586,11237
"178","Flushing Av",40.70026,-73.941126,11206
"179","Flushing Av",40.700377,-73.950234,11206
"180","Sutphin Blvd-Archer Av - JFK",40.700486,-73.807969,11435
"181","121st St",40.700492,-73.828294,11418
"182","South Ferry",40.702068,-74.013664,10004
"183","Parsons Blvd-Archer Av - Jamaica Center",40.702147,-73.801109,11432
"184","Jamaica-Van Wyck",40.702566,-73.816859,11418
"185","Seneca Av",40.702762,-73.90774,11385
"186","Whitehall St",40.703087,-74.012994,10004
"187","DeKalb Av",40.703811,-73.918425,11237
"188","Lorimer St",40.703869,-73.947408,11206
"189","Forest Av",40.704423,-73.903077,11385
"190","Bowling Green",40.704817,-74.014065,10004
"191","Sutphin Blvd",40.70546,-73.810708,11435
"192","Broadway",40.706092,-73.950308,11211
"193","Morgan Av",40.706152,-73.933147,11206
"194","Fresh Pond Rd",40.706186,-73.895877,11385
"195","Broad St",40.706476,-74.011056,10005
"196","Jefferson St",40.706607,-73.922913,11237
"197","Wall St",40.706821,-74.0091,10005
"198","Hewes St",40.70687,-73.953431,11211
"199","Rector St",40.70722,-74.013342,10006
"200","Rector St",40.707513,-74.013783,10006
"201","Wall St",40.707557,-74.011862,10006
"202","Parsons Blvd",40.707564,-73.803326,11432
"203","Montrose Av",40.707739,-73.93985,11206
"204","Marcy Av",40.708359,-73.957757,11211
"205","Briarwood-Van Wyck Blvd",40.709179,-73.820574,11415
"206","Fulton St",40.709416,-74.006571,10038
"207","Broadway-Nassau",40.710197,-74.007691,10038
"208","Fulton St",40.710368,-74.009509,10007
"209","Fulton St",40.710374,-74.007582,10038
"210","169th St",40.71047,-73.793604,11432
"211","Cortlandt St",40.710668,-74.011029,10007
"212","Metropolitan Av",40.711396,-73.889601,11381
"213","Brooklyn Bridge-City Hall",40.711824,-74.005057,10038
"214","Brooklyn Bridge-City Hall",40.711857,-74.005114,10038
"215","Grand St",40.711926,-73.94067,11206
"216","Brooklyn Bridge-City Hall",40.712333,-74.004387,10013
"217","World Trade Center",40.712582,-74.009781,10007
"218","Jamaica-179th St",40.712646,-73.783817,11432
"219","Brooklyn Bridge-City Hall",40.712723,-74.004971,10007
"220","Metropolitan Av",40.712792,-73.951418,11211
"221","Brooklyn Bridge-City Hall",40.712868,-74.004806,10007
"222","Park Place",40.713051,-74.008811,10007
"223","Brooklyn Bridge-City Hall",40.713065,-74.004131,10007
"224","Chambers St",40.713243,-74.003401,10007
"225","City Hall",40.713282,-74.006978,10007
"226","East Broadway",40.713715,-73.990173,10002
"227","Brooklyn Bridge-City Hall",40.713813,-74.003907,10007
"228","Brooklyn Bridge-City Hall",40.713889,-74.003654,10007
"229","Lorimer St",40.714063,-73.950275,11211
"230","Chambers St",40.714111,-74.008585,10007
"231","Chambers St",40.71419,-74.003199,10007
"232","Kew Gardens-Union Turnpike",40.714441,-73.831008,11375
"233","Graham Av",40.714565,-73.944053,11211
"234","Chambers St",40.715478,-74.009266,10007
"235","Bedford Av",40.717304,-73.956872,11211
"236","Canal St",40.718092,-73.999892,10013
"237","Grand St",40.718267,-73.993753,10002
"238","Essex St",40.718315,-73.987437,10002
"239","75th Av",40.718331,-73.837324,11375
"240","Delancey St",40.718611,-73.988114,10002
"241","Canal St",40.718803,-74.000193,10013
"242","Franklin St",40.719318,-74.006886,10013
"243","Canal St (UL)",40.719527,-74.001775,10013
"244","Bowery",40.72028,-73.993915,10002
"245","Canal St",40.720824,-74.005229,10013
"246","Forest Hills-71st Av",40.721691,-73.844521,11375
"247","Spring St",40.722301,-73.997141,10012
"248","Canal St",40.722854,-74.006277,10013
"249","2nd Av",40.723402,-73.989938,10002
"250","Prince St",40.724329,-73.997702,10012
"251","Nassau Av",40.724635,-73.951277,11222
"252","Broadway-Lafayette St",40.725297,-73.996204,10012
"253","Bleecker St",40.725915,-73.994659,10012
"254","Spring St",40.726227,-74.003739,10013
"255","67th Av",40.726523,-73.852719,11375
"256","Houston St",40.728251,-74.005367,10014
"257","63rd Drive-Rego Park",40.729846,-73.861604,11374
"258","Astor Place",40.730054,-73.99107,10003
"259","8th St",40.730328,-73.992629,10003
"260","1st Av",40.730953,-73.981628,10009
"261","Greenpoint Av",40.731352,-73.954449,11222
"262","West 4th St",40.732338,-74.000495,10011
"263","3rd Av",40.732849,-73.986122,10003
"264","Woodhaven Blvd",40.733106,-73.869229,11374
"265","Christopher St",40.733422,-74.002906,10014
"266","14th St-Union Square",40.734673,-73.989951,10003
"267","Union Square",40.734789,-73.99073,10003
"268","Union Square",40.735736,-73.990568,10003
"269","Grand Av-Newtown",40.737015,-73.877223,11377
"270","6th Av",40.737335,-73.996786,10011
"271","14th St",40.737826,-74.000201,10011
"272","14th St",40.738228,-73.996209,10011
"273","8th Av",40.739777,-74.002578,10011
"274","23rd St",40.739864,-73.986599,10010
"275","14th St",40.740893,-74.00169,10011
"276","18th St",40.74104,-73.997871,10011
"277","23rd St",40.741303,-73.989344,10010
"278","Hunters Point",40.742216,-73.948916,11101
"279","Elmhurst Av",40.742454,-73.882017,11373
"280","Vernon Blvd-Jackson Av",40.742626,-73.953581,11101
"281","23rd St",40.742878,-73.992821,10010
"282","28th St",40.74307,-73.984264,10016
"283","Bliss St-46th St",40.743132,-73.918435,11377
"284","Lowery St-40th St",40.743781,-73.924016,11104
"285","21st St",40.744065,-73.949724,11101
"286","23rd St",40.744081,-73.995657,10011
"287","Lincoln Av-52nd St",40.744149,-73.912549,11377
"288","Rawson St-33rd St",40.744587,-73.930997,11101
"289","28th St",40.745494,-73.988691,10001
"290","Woodside Av-61st St",40.74563,-73.902984,11377
"291","23rd St",40.745906,-73.998041,10011
"292","33rd St",40.746081,-73.982076,10016
"293","Fisk Av-69th St",40.746325,-73.896403,11377
"294","Long Island City-Court Square",40.746554,-73.943832,11101
"295","Jackson Heights-Roosevelt Ave",40.746644,-73.891338,11373
"296","Broadway-74th St",40.746848,-73.891394,11372
"297","45 Rd-Court House Sq",40.747023,-73.945264,11101
"298","28th St",40.747215,-73.993365,10001
"299","82nd St-Jackson Heights",40.747659,-73.883697,11373
"300","23rd St-Ely Av",40.747846,-73.946,11101
"301","90th St Elmhurst",40.748408,-73.876613,11372
"302","Queens Plaza",40.748973,-73.937243,11101
"303","Junction Blvd",40.749145,-73.869527,11372
"304","34th St",40.749567,-73.98795,10001
"305","65th St",40.749669,-73.898453,11377
"306","34th St",40.749719,-73.987823,10001
"307","103rd St",40.749865,-73.8627,11368
"308","34th St",40.750373,-73.991057,10001
"309","Queensboro Plaza",40.750582,-73.940202,11101
"310","Grand Central-42nd St",40.751431,-73.976041,10017
"311","111th St",40.75173,-73.855334,11368
"312","Grand Central-42nd St",40.751776,-73.976848,10017
"313","36th St",40.752039,-73.928781,11101
"314","34th St",40.752287,-73.993391,10001
"315","Grand Central",40.752769,-73.979189,10017
"316","39 Av-Beebe Av",40.752882,-73.932755,11101
"317","Northern Blvd",40.752885,-73.906006,11377
"318","5th Av",40.753821,-73.981963,10036
"319","21st St",40.754203,-73.942836,11101
"320","42nd St",40.754222,-73.984569,10018
"321","Mets - Willets Point",40.754622,-73.845625,11368
"322","Times Square-42nd St",40.754672,-73.986754,10018
"323","Times Square",40.75529,-73.987495,10018
"324","34 St Hudson Yards",40.755882,-74.00191,10001
"325","Times Square",40.755983,-73.986229,10036
"326","46th St",40.756312,-73.913333,11103
"327","36 Av-Washington Av",40.756804,-73.929575,11106
"328","Steinway St",40.756879,-73.92074,11103
"329","51st St",40.757107,-73.97192,10022
"330","42nd St",40.757308,-73.989735,10036
"331","Lexington Av-53rd St",40.757552,-73.969055,10022
"332","47-50th Sts Rockefeller Center",40.758663,-73.981329,10020
"333","Roosevelt Island",40.759145,-73.95326,10044
"334","Flushing-Main St",40.7596,-73.83003,11354
"335","49th St",40.759901,-73.984139,10019
"336","5th Av-53rd St",40.760167,-73.975224,10022
"337","50th St",40.761728,-73.983849,10019
"338","Broadway",40.76182,-73.925508,11106
"339","50th St",40.762456,-73.985984,10019
"340","59th St",40.762526,-73.967967,10022
"341","Lexington Av",40.76266,-73.967258,10022
"342","7th Av",40.762862,-73.981637,10019
"343","57th St",40.763972,-73.97745,10019
"344","Lexington Av",40.764627,-73.96611,10065
"345","57th St",40.764664,-73.980658,10019
"346","5th Av",40.764811,-73.973347,10019
"347","30 Av-Grand Av",40.766779,-73.921479,11102
"348","68th St-Hunter College",40.768141,-73.96387,10065
"349","59th St-Columbus Circle",40.768247,-73.981929,10019
"350","59th St",40.768296,-73.981736,10019
"351","Astoria Blvd-Hoyt Av",40.770258,-73.917843,11102
"352","66th St-Lincoln Center",40.77344,-73.982209,10023
"353","77th St",40.77362,-73.959874,10075
"354","Ditmars Blvd",40.775036,-73.912034,11105
"355","72nd St",40.775594,-73.97641,10023
"356","72nd St",40.778453,-73.98197,10023
"357","86th St",40.779492,-73.955589,10028
"358","81st St - Museum of Natural History",40.781433,-73.972143,10024
"359","79th St",40.783934,-73.979917,10024
"360","96th St",40.785672,-73.95107,10128
"361","86th St",40.785868,-73.968916,10024
"362","86th St",40.788644,-73.976218,10024
"363","103rd St",40.7906,-73.947478,10029
"364","96th St",40.791646,-73.964699,10025
"365","96th St",40.793919,-73.972323,10025
"366","110th St",40.79502,-73.94425,10029
"367","103rd St",40.796092,-73.961454,10025
"368","116th St",40.798629,-73.941617,10029
"369","110th St-Central Park North",40.799075,-73.951822,10026
"370","103rd St",40.799446,-73.968379,10025
"371","Cathedral Parkway-110th St",40.800605,-73.958158,10036
"372","116th St",40.802098,-73.949625,10026
"373","Cathedral Parkway-110th St",40.803967,-73.966847,10025
"374","125th St",40.804138,-73.937594,10035
"375","116th St",40.805085,-73.954882,10026
"376","Cypress Av",40.805368,-73.914042,10454
"377","Brook Av",40.807566,-73.91924,10454
"378","116th St-Columbia University",40.807722,-73.96411,10027
"379","125th St",40.807754,-73.945495,10027
"380","East 143rd St-St Mary's St",40.808719,-73.907657,10455
"381","138th St-3rd Ave",40.810476,-73.926138,10454
"382","125th St",40.811109,-73.952343,10027
"383","East 149th St",40.812118,-73.904098,10455
"384","138th St",40.813224,-73.929849,10451
"385","135th St",40.814229,-73.94077,10037
"386","125th St",40.815581,-73.958372,10027
"387","Longwood Av",40.816104,-73.896435,10455
"388","149th St-3rd Av",40.816109,-73.917757,10455
"389","Jackson Av",40.81649,-73.907807,10455
"390","135th St",40.817894,-73.947649,10032
"391","149th St-Grand Concourse",40.818375,-73.927351,10451
"392","Prospect Av",40.819585,-73.90177,10455
"393","145th St",40.820421,-73.936245,10039
"394","Hunts Point Av",40.820948,-73.890549,10459
"395","137th St-City College",40.822008,-73.953676,10031
"396","Intervale Av",40.822181,-73.896736,10459
"397","Harlem-148th St",40.82388,-73.93647,10039
"398","Simpson St",40.824073,-73.893064,10459
"399","145th St",40.824783,-73.944216,10031
"400","Whitlock Av",40.826525,-73.886283,10459
"401","145th St",40.826551,-73.95036,10031
"402","Yankee Stadium-161st St",40.827905,-73.925651,10452
"403","Yankee Stadium-161st St",40.827994,-73.925831,10452
"404","Elder Av",40.828584,-73.879159,10472
"405","Morrison Av-Soundview Av",40.829521,-73.874516,10472
"406","Freeman St",40.829993,-73.891865,10459
"407","155th St",40.830135,-73.938209,10039
"408","155th St",40.830518,-73.941514,10032
"409","St Lawrence Av",40.831509,-73.867618,10472
"410","Parkchester-East 177th St",40.833226,-73.860816,10472
"411","167th St",40.833769,-73.918432,10452
"412","157th St",40.834041,-73.94489,10032
"413","Castle Hill Av",40.834255,-73.851222,10462
"414","167th St",40.835537,-73.9214,10452
"415","163rd St - Amsterdam Av",40.836013,-73.939892,10032
"416","Zerega Av",40.836488,-73.847036,10462
"417","174th St",40.837288,-73.887734,10460
"418","170th St",40.839306,-73.9134,10452
"419","Westchester Square-East Tremont Av",40.839892,-73.842952,10461
"420","170th St",40.840075,-73.917791,10452
"421","East Tremont Av-West Farms Sq",40.840295,-73.880049,10460
"422","168th St",40.840556,-73.940133,10032
"423","168th St - Washington Heights",40.840719,-73.939561,10032
"424","East 180th St",40.841894,-73.873488,10460
"425","Middletown Rd",40.843863,-73.836322,10461
"426","Mt Eden Av",40.844434,-73.914685,10452
"427","174-175th Sts",40.8459,-73.910136,10453
"428","Buhre Av",40.84681,-73.832569,10461
"429","175th St",40.847391,-73.939704,10033
"430","176th St",40.84848,-73.911794,10453
"431","Bronx Park East",40.848828,-73.868457,10462
"432","181st St",40.849505,-73.933596,10033
"433","Tremont Av",40.85041,-73.905227,10457
"434","181st St",40.851695,-73.937969,10033
"435","Pelham Bay Park",40.852462,-73.828121,10461
"436","Burnside Av",40.853453,-73.907684,10453
"437","Morris Park",40.854364,-73.860495,10462
"438","191st St",40.855225,-73.929412,10040
"439","182nd-183rd Sts",40.856093,-73.900741,10457
"440","Pelham Parkway",40.857192,-73.867615,10462
"441","183rd St",40.858407,-73.903879,10468
"442","Pelham Parkway",40.858985,-73.855359,10469
"443","190th St",40.859022,-73.93418,10040
"444","Dyckman St",40.860531,-73.925536,10040
"445","Fordham Rd",40.861296,-73.897749,10458
"446","Fordham Rd",40.862803,-73.901034,10468
"447","207th St",40.864614,-73.918819,10034
"448","Allerton Av",40.865462,-73.867352,10467
"449","Dyckman St-200th St",40.865491,-73.927271,10040
"450","Kingsbridge Rd",40.866978,-73.893509,10458
"451","Kingsbridge Rd",40.86776,-73.897174,10468
"452","Inwood - 207th St",40.868072,-73.919899,10034
"453","215th St",40.869444,-73.915279,10034
"454","Gun Hill Rd",40.869526,-73.846384,10469
"455","Burke Av",40.871356,-73.867164,10467
"456","Bedford Park Blvd",40.873244,-73.887138,10468
"457","Bedford Park Blvd-Lehman College",40.873412,-73.890064,10468
"458","Marble Hill-225th St",40.874561,-73.909831,10034
"459","Norwood-205th St",40.874811,-73.878855,10467
"460","Gun Hill Rd",40.87785,-73.866256,10467
"461","Baychester Av",40.878663,-73.838591,10469
"462","231st St",40.878856,-73.904834,10463
"463","Mosholu Parkway",40.87975,-73.884655,10467
"464","219th St",40.883895,-73.862633,10467
"465","238th St",40.884667,-73.90087,10463
"466","Woodlawn",40.886037,-73.878751,10467
"467","225th St",40.888022,-73.860341,10466
"468","Eastchester-Dyre Av",40.8883,-73.830834,10466
"469","Van Cortlandt Park-242nd St",40.889248,-73.898583,10463
"470","233rd St",40.893193,-73.857473,10466
"471","238th St-Nereid Av",40.898379,-73.854376,10466
"472","Wakefield-241st St",40.903125,-73.85062,10470
